,x_box,y_box,width,high,onpix,x_bar,y_bar,x2bar,y2bar,xybar,x2ybr,xy2br,x_ege,xegvy,y_ege,yegvx,target
4952,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,17
11481,2.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,0.0,2.0,2.0,2.0,16
3002,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,3.0,0.0,3.0,1.0,2.0,16
2017,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,4.0,2.0,2.0,0.0,2.0,1.0,2.0,25
8975,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,0.0,3.0,0.0,2.0,20
7218,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,3.0,2.0,2.0,3.0,0.0,2.0,22
16264,0.0,3.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,3.0,1.0,3.0,0.0,2.0,0.0,1.0,9
13249,0.0,2.0,1.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,0.0,2.0,21
2613,1.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,13
6516,0.0,2.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,0.0,3.0,1.0,3.0,2
18662,1.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,2.0,1.0,3.0,16
12641,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,4.0,2.0,2.0,0.0,2.0,0.0,2.0,8
16563,1.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,1.0,2.0,14
2085,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,6
13742,0.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,3.0,17
1624,1.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0,25
19007,0.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,1.0,0.0,3.0,0.0,2.0,15
14336,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,2.0,2.0,3.0,4.0,0.0,1.0,22
5400,0.0,1.0,1.0,2.0,0.0,3.0,3.0,0.0,0.0,2.0,4.0,2.0,0.0,3.0,0.0,2.0,24
5152,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,0.0,3.0,0.0,1.0,20
10934,1.0,3.0,1.0,2.0,1.0,3.0,2.0,0.0,2.0,3.0,0.0,2.0,0.0,2.0,0.0,3.0,17
3432,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,0.0,2.0,2.0,3.0,17
4140,1.0,3.0,2.0,2.0,1.0,3.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,2.0,1.0,3.0,11
12535,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,12
157,2.0,4.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,0
16957,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,14
10869,1.0,3.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,0.0,2.0,1.0,2.0,14
2183,2.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,2.0,3.0,0.0,3.0,0.0,2.0,18
13944,1.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,2.0,3.0,2.0,0.0,3.0,0.0,2.0,21
14717,1.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0
6713,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,0.0,2.0,1.0,3.0,2
11437,0.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,0.0,3.0,0.0,2.0,21
8743,0.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,16
14931,0.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,4.0,2.0,2.0,0.0,2.0,0.0,2.0,8
11603,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,4.0,2.0,1.0,0.0,3.0,0.0,2.0,5
17927,1.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,4.0,3.0,2.0,0.0,3.0,0.0,2.0,21
9476,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,0.0,2.0,1.0,3.0,6
16135,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,3.0,1.0,3.0,0.0,2.0,0.0,3.0,10
13862,1.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,23
3655,1.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,14
16424,2.0,4.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,4.0,1.0,2.0,0.0,2.0,1.0,2.0,8
6956,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,18
6971,2.0,3.0,3.0,2.0,2.0,1.0,3.0,0.0,1.0,2.0,3.0,3.0,2.0,3.0,0.0,2.0,22
3437,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,11
2847,1.0,3.0,1.0,2.0,1.0,2.0,2.0,4.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,13
7733,0.0,2.0,1.0,1.0,0.0,3.0,2.0,0.0,1.0,4.0,1.0,1.0,0.0,3.0,0.0,3.0,15
12080,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,14
2401,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,12
4944,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,3.0,3.0,2.0,2.0,3.0,0.0,2.0,22
6290,2.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1
1889,1.0,3.0,1.0,2.0,1.0,2.0,3.0,0.0,2.0,2.0,4.0,2.0,0.0,3.0,0.0,2.0,19
11933,1.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,11
5173,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,0.0,3.0,1.0,3.0,6
11677,0.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,3.0,1
8875,1.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,4.0,2.0,4.0,0.0,2.0,0.0,2.0,9
9899,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,17
13281,1.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,4.0,3.0,2.0,0.0,3.0,0.0,2.0,21
8175,1.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,0.0,0.0,3.0,12
14892,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,2.0,3
14034,0.0,2.0,1.0,2.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,4
7329,3.0,4.0,3.0,2.0,2.0,2.0,2.0,0.0,2.0,3.0,2.0,2.0,1.0,4.0,1.0,2.0,23
5335,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,0.0,3.0,1.0,3.0,6
18949,1.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,3.0,3.0,1.0,0.0,3.0,0.0,1.0,19
4168,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,2.0,1.0,3.0,17
9358,1.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,2.0,3
18022,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,23
2868,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,3.0,2.0,0.0,3.0,0.0,2.0,21
8666,0.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,1.0,4.0,1.0,0.0,0.0,3.0,0.0,2.0,15
7841,0.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,1.0,2.0,3.0,2.0,0.0,3.0,0.0,2.0,19
13970,0.0,3.0,1.0,2.0,0.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,18
7388,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,3
12564,2.0,3.0,3.0,2.0,1.0,2.0,1.0,0.0,3.0,4.0,1.0,3.0,0.0,3.0,1.0,3.0,25
3641,0.0,2.0,1.0,1.0,0.0,3.0,4.0,0.0,2.0,1.0,3.0,2.0,0.0,2.0,0.0,2.0,19
7333,1.0,3.0,2.0,2.0,2.0,3.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,4.0,4
1726,2.0,3.0,3.0,2.0,2.0,3.0,1.0,0.0,2.0,3.0,1.0,2.0,0.0,2.0,0.0,3.0,23
4595,0.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,4.0,2.0,2.0,0.0,2.0,0.0,2.0,8
12652,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0,2.0,1.0,2.0,14
7538,0.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,2.0,0
5637,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,0.0,2.0,1.0,3.0,4
1363,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,13
18186,2.0,3.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,2.0,13
7994,2.0,3.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,3.0,3.0,2.0,0.0,3.0,1.0,1.0,24
17792,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,8
1289,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,0.0,2.0,2.0,2.0,3.0,1.0,0.0,2.0,12
17300,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,0.0,20
3276,2.0,2.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,3.0,3.0,2.0,1.0,4.0,0.0,2.0,21
12164,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,0.0,3.0,0.0,2.0,20
11363,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0,3.0,1.0,2.0,6
7437,1.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0,2.0,0.0,2.0,12
1017,1.0,3.0,2.0,2.0,1.0,2.0,1.0,0.0,3.0,2.0,0.0,3.0,0.0,2.0,0.0,2.0,11
16903,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,7
10531,0.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,2.0,3.0,3.0,0.0,3.0,0.0,2.0,21
9739,0.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,13
6217,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,0.0,2.0,1.0,3.0,2
17298,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,4.0,0.0,3.0,0.0,2.0,2
12677,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,0.0,3.0,0.0,2.0,20
9703,1.0,2.0,1.0,1.0,0.0,2.0,3.0,0.0,1.0,4.0,1.0,1.0,0.0,3.0,0.0,2.0,15
6832,0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,14
14918,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,3.0,17
4907,1.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,11
18918,0.0,2.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,0.0,2.0,21
3285,2.0,3.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,24
16532,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,2.0,16
12591,1.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,4.0,3.0,2.0,0.0,2.0,0.0,2.0,5
7836,2.0,4.0,1.0,3.0,1.0,2.0,3.0,0.0,1.0,4.0,1.0,1.0,0.0,3.0,2.0,3.0,9
18985,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,3.0,2.0,2.0,1.0,4.0,6
19131,2.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0,2.0,0.0,3.0,3
8714,0.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0,2.0,1.0,3.0,6
13678,2.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,3.0,0.0,2.0,0.0,2.0,18
10515,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,8
18392,1.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,14
1631,2.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,3.0,3
14106,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,11
3242,1.0,3.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,10
19304,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0
13319,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,0.0,3.0,0.0,3.0,6
2371,1.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,3.0,2.0,2.0,4.0,0.0,2.0,22
19738,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,2.0,4.0,1.0,2.0,0.0,2.0,0.0,2.0,9
6297,0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,3.0,16
12353,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,4.0,2.0,0.0,3.0,0.0,2.0,21
19296,0.0,3.0,1.0,2.0,0.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,0.0,3.0,2.0,2.0,18
4943,1.0,3.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,4.0,2.0,2.0,0.0,2.0,0.0,2.0,8
8147,1.0,3.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0
6416,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,4.0,2.0,2.0,0.0,2.0,1.0,2.0,25
18491,0.0,0.0,1.0,1.0,0.0,2.0,3.0,0.0,1.0,2.0,3.0,3.0,0.0,3.0,0.0,2.0,21
4606,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,0.0,2.0,1.0,3.0,6
15027,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,14
5591,1.0,3.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,4.0,2.0,2.0,1.0,2.0,0.0,2.0,13
12865,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,6
355,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,0.0,3.0,0.0,1.0,20
15307,0.0,2.0,1.0,1.0,0.0,2.0,4.0,0.0,1.0,2.0,3.0,2.0,0.0,2.0,0.0,2.0,19
7385,0.0,0.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,0.0,2.0,21
14754,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,3.0,3.0,2.0,0.0,2.0,0.0,2.0,5
6174,1.0,3.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,4.0,1.0,2.0,0.0,3.0,1.0,3.0,8
1183,0.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,0.0,2.0,1.0,3.0,6
5442,2.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,3.0,2.0,2.0,2.0,4.0,0.0,2.0,22
34,2.0,3.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0,2.0,12
5547,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,4.0,0.0,3.0,1.0,2.0,2
17933,2.0,4.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,25
1397,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,3.0,3.0,0.0,3.0,0.0,2.0,2
10466,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,0.0,2.0,0.0,2.0,14
17473,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,3.0,0
3699,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,18
13622,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,3.0,1
14032,1.0,3.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,1.0,0.0,2.0,0
17284,2.0,4.0,1.0,3.0,1.0,3.0,1.0,0.0,1.0,4.0,1.0,2.0,0.0,3.0,1.0,4.0,9
9219,1.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,4.0,2.0,0.0,3.0,0.0,2.0,20
16244,0.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0
8853,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,2.0,4.0,0.0,2.0,1.0,3.0,2
3991,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,3.0,2.0,2.0,2.0,0.0,2.0,12
10151,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,9
4989,1.0,2.0,1.0,4.0,1.0,3.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,1.0,3.0,9
3143,2.0,3.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,0
5873,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0
11449,1.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,3.0,3.0,2.0,2.0,3.0,0.0,2.0,22
13191,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,2.0,1.0,3.0,17
18605,2.0,4.0,2.0,2.0,1.0,2.0,1.0,0.0,3.0,4.0,2.0,3.0,0.0,2.0,2.0,2.0,25
10245,2.0,4.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,4.0,1.0,1.0,0.0,2.0,2.0,2.0,5
11343,1.0,2.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,3.0,3.0,2.0,0.0,3.0,0.0,2.0,21
6997,0.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,23
16590,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,17
18544,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,2.0,3.0,3.0,1.0,0.0,3.0,0.0,1.0,19
616,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,3.0,3.0,2.0,0.0,3.0,0.0,1.0,24
18551,0.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,2.0,0
15091,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,7
9541,0.0,1.0,1.0,1.0,0.0,2.0,2.0,4.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,7
14421,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,0.0,2.0,1.0,1.0,18
19394,1.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,2.0,3.0,1.0,2.0,0.0,3.0,1.0,3.0,3
9230,2.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,2.0,24
16984,1.0,3.0,1.0,2.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,13
16440,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,4.0,1.0,2.0,0.0,2.0,0.0,2.0,9
19818,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,0.0,3.0,0.0,2.0,15
515,1.0,3.0,1.0,2.0,0.0,1.0,3.0,0.0,2.0,4.0,3.0,1.0,0.0,3.0,0.0,1.0,24
5724,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,0.0,3.0,0.0,2.0,15
14053,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,3.0,4
17441,0.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0,25
8887,1.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,3.0,2.0,2.0,0.0,2.0,0.0,2.0,23
9705,0.0,3.0,1.0,2.0,1.0,4.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,1.0,3.0,8
5882,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,0.0,3.0,0.0,2.0,14
4998,0.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,2.0,0.0,3.0,0.0,2.0,21
6830,1.0,2.0,1.0,2.0,0.0,2.0,1.0,4.0,1.0,2.0,4.0,2.0,0.0,3.0,0.0,2.0,20
968,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,4.0,2.0,3.0,0.0,2.0,0.0,2.0,8
3508,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,2.0,2.0,4.0,0.0,2.0,2.0,2.0,4
9551,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,3
