,top_left_square,top_middle_square,top_right_square,middle_left_square,middle_middle_square,middle_right_square,bottom_left_square,bottom_middle_square,bottom_right_square,target
197,2,1,0,2,1,1,2,2,0,1
539,0,1,2,1,2,1,2,0,2,1
266,2,0,1,1,1,0,2,2,2,1
8,2,2,2,2,1,0,0,1,1,1
610,0,0,1,2,2,2,1,1,2,1
553,0,1,2,0,2,1,2,1,2,1
784,1,2,1,0,1,2,2,2,1,0
322,1,2,1,2,2,2,0,1,0,1
794,1,2,0,1,2,0,1,0,2,0
603,0,0,2,0,2,1,2,0,1,1
605,0,0,2,0,1,2,1,0,2,1
619,0,0,1,0,0,1,2,2,2,1
27,2,2,2,1,1,0,2,1,0,1
319,1,2,1,2,2,2,1,2,1,1
359,1,2,0,0,2,1,2,2,1,1
764,1,2,2,1,0,1,1,2,2,0
123,2,1,2,1,2,1,2,2,1,1
653,2,2,1,0,1,2,1,0,0,0
315,1,2,2,0,1,2,1,0,2,1
264,2,0,1,1,2,0,1,2,2,1
137,2,1,2,0,2,1,2,0,1,1
880,0,2,2,2,1,2,1,1,1,0
504,0,2,1,1,2,1,0,2,2,1
532,0,1,2,2,1,2,1,0,2,1
645,2,2,1,1,1,1,0,2,2,0
471,1,0,1,0,0,0,2,2,2,1
584,0,1,0,1,1,2,2,2,2,1
937,0,0,1,2,1,2,1,0,2,0
194,2,1,0,2,2,0,2,1,1,1
180,2,1,1,0,2,1,2,0,2,1
620,0,0,0,2,2,2,1,1,0,1
101,2,2,0,2,1,1,2,1,0,1
7,2,2,2,2,1,0,1,0,1,1
846,1,1,1,0,0,2,0,2,2,0
475,1,0,0,2,2,2,1,0,0,1
328,1,2,1,2,1,1,2,2,2,1
414,1,1,0,2,2,2,0,0,0,1
601,0,0,2,1,0,2,0,1,2,1
242,2,0,1,2,2,1,2,1,0,1
763,1,2,2,1,0,2,1,0,0,0
612,0,0,1,2,2,2,0,1,0,1
769,1,2,2,0,1,2,1,2,1,0
826,1,1,1,2,0,2,1,2,2,0
615,0,0,1,1,2,1,2,2,2,1
157,2,1,1,2,2,0,0,1,2,1
950,2,1,1,1,2,2,2,2,1,0
3,2,2,2,2,1,1,1,0,0,1
888,0,2,2,1,1,1,0,0,2,0
946,2,1,2,2,1,2,1,2,1,0
321,1,2,1,2,2,2,1,0,0,1
468,1,0,1,1,0,2,2,2,2,1
928,0,0,2,2,2,0,1,1,1,0
519,0,2,0,1,2,1,1,2,2,1
376,1,1,2,2,1,2,1,2,2,1
362,1,2,0,0,2,0,1,2,0,1
871,1,0,0,2,1,2,2,0,1,0
517,0,2,0,1,2,2,1,2,1,1
295,1,2,2,2,2,1,2,1,1,1
104,2,2,0,2,0,1,2,1,1,1
256,2,0,1,2,0,1,2,0,0,1
708,2,0,2,1,2,2,1,1,1,0
943,2,2,1,1,1,2,2,2,1,0
1,2,2,2,2,1,1,1,2,1,1
261,2,0,1,1,2,1,2,0,2,1
460,1,0,1,2,2,2,1,2,0,1
428,1,0,2,2,1,2,1,0,2,1
363,1,2,0,0,2,0,0,2,1,1
120,2,1,2,2,0,0,2,1,1,1
936,0,0,1,2,1,2,1,2,0,0
152,2,1,1,2,2,1,1,2,2,1
693,2,1,1,2,1,2,0,1,2,0
562,0,1,1,2,2,2,2,1,0,1
140,2,1,2,0,2,0,2,1,1,1
793,1,2,0,1,2,2,1,0,0,0
681,2,1,2,1,1,1,2,0,2,0
721,2,0,1,2,1,2,1,0,0,0
576,0,1,0,2,2,2,2,1,1,1
592,0,0,2,1,2,1,2,2,1,1
32,2,2,2,1,1,0,0,1,2,1
837,1,1,1,0,2,2,2,0,0,0
881,0,2,2,2,0,0,1,1,1,0
812,1,1,1,2,2,1,2,0,2,0
656,2,2,1,0,1,0,1,2,0,0
634,2,2,1,2,1,0,1,2,1,0
551,0,1,2,0,2,2,1,1,2,1
135,2,1,2,1,0,2,0,1,2,1
337,1,2,1,0,2,2,0,2,1,1
334,1,2,1,1,1,2,2,2,2,1
944,2,2,1,1,1,2,2,1,2,0
628,2,2,1,2,2,0,1,1,1,0
671,2,2,0,0,0,2,1,1,1,0
354,1,2,0,1,2,0,2,2,1,1
274,2,0,1,0,1,1,2,2,2,1
545,0,1,2,1,1,0,2,2,2,1
955,1,2,1,2,1,2,2,1,2,0
279,2,0,0,2,1,1,2,1,2,1
459,1,0,1,2,2,2,2,0,1,1
6,2,2,2,2,1,0,1,1,0,1
791,1,2,0,2,1,0,0,2,1,0
689,2,1,2,0,1,0,0,1,2,0
673,2,1,2,2,1,2,1,1,0,0
858,1,0,2,1,2,1,1,2,2,0
726,2,0,1,1,2,1,2,2,1,0
842,1,1,1,0,2,0,2,0,2,0
879,0,2,2,2,2,1,1,1,1,0
872,1,0,0,2,1,2,0,2,1,0
686,2,1,2,0,1,2,0,1,0,0
670,2,2,0,0,2,0,1,1,1,0
235,2,0,2,1,0,2,1,1,2,1
771,1,2,2,0,1,1,2,2,1,0
609,0,0,1,2,2,2,1,2,1,1
844,1,1,1,0,0,2,2,2,0,0
739,2,0,0,0,2,2,1,1,1,0
761,1,2,2,1,1,0,1,2,2,0
501,0,2,1,1,2,2,1,2,0,1
361,1,2,0,0,2,1,0,2,0,1
287,2,0,0,1,2,1,2,1,2,1
796,1,2,0,1,1,2,1,2,2,0
948,2,1,2,1,2,2,1,2,1,0
804,1,1,2,2,1,2,2,0,1,0
451,1,0,2,0,2,0,2,0,1,1
849,1,1,0,1,2,2,1,2,2,0
807,1,1,2,2,1,0,2,1,2,0
461,1,0,1,2,2,2,1,0,2,1
174,2,1,1,1,2,0,2,0,2,1
921,0,1,1,2,2,1,2,2,1,0
437,1,0,2,1,2,0,2,1,2,1
472,1,0,0,2,2,2,2,1,1,1
223,2,0,2,2,1,1,2,1,0,1
913,0,2,0,0,2,2,1,1,1,0
347,1,2,0,2,2,2,0,1,1,1
765,1,2,2,1,0,0,1,2,0,0
225,2,0,2,2,1,0,2,1,1,1
309,1,2,2,0,2,1,2,1,0,1
350,1,2,0,2,2,0,1,2,1,1
891,0,2,1,2,2,1,2,1,1,0
410,1,1,0,2,2,2,1,2,0,1
196,2,1,0,2,1,2,2,0,1,1
744,1,2,2,2,1,1,0,2,1,0
749,1,2,2,1,2,2,1,1,0,0
161,2,1,1,2,1,0,2,2,0,1
65,2,2,2,0,1,0,1,1,2,1
581,0,1,0,2,2,2,0,0,1,1
661,2,2,0,2,1,2,1,1,1,0
39,2,2,2,1,0,1,1,2,0,1
594,0,0,2,1,2,1,2,0,0,1
860,1,0,2,1,2,0,1,0,2,0
845,1,1,1,0,0,2,2,0,2,0
29,2,2,2,1,1,0,1,2,0,1
848,1,1,0,2,1,2,2,1,2,0
403,1,1,2,0,1,0,2,2,2,1
608,0,0,1,2,2,2,2,1,1,1
541,0,1,2,1,2,0,2,1,2,1
847,1,1,0,2,1,2,2,2,1,0
247,2,0,1,2,1,2,2,1,0,1
622,0,0,0,2,2,2,0,1,1,1
482,1,0,0,0,1,0,2,2,2,1
2,2,2,2,2,1,1,1,1,2,1
255,2,0,1,2,0,1,2,1,2,1
187,2,1,0,2,2,2,1,1,0,1
178,2,1,1,0,2,2,1,0,2,1
825,1,1,1,2,0,2,2,0,0,0
719,2,0,1,2,1,2,1,2,1,0
835,1,1,1,0,2,2,2,2,1,0
588,0,0,2,2,2,1,2,1,1,1
429,1,0,2,2,1,2,0,1,2,1
67,2,2,2,0,1,0,0,1,0,1
408,1,1,0,2,2,2,2,1,0,1
259,2,0,1,1,2,2,1,0,2,1
465,1,0,1,2,1,0,2,2,2,1
666,2,2,0,1,1,1,2,0,0,0
690,2,1,1,2,2,1,0,2,1,0
887,0,2,2,1,1,1,0,2,0,0
432,1,0,2,1,2,2,2,0,1,1
380,1,1,2,2,0,2,0,1,2,1
916,0,1,2,2,1,1,2,1,2,0
859,1,0,2,1,2,0,1,2,0,0
597,0,0,2,1,1,2,2,1,2,1
374,1,1,2,2,2,0,2,1,0,1
650,2,2,1,0,2,1,0,0,1,0
484,0,2,2,1,2,1,2,1,0,1
640,2,2,1,1,2,1,2,0,1,0
853,1,0,2,2,1,1,2,2,1,0
45,2,2,2,1,0,0,1,2,1,1
100,2,2,1,0,2,0,1,1,2,1
94,2,2,1,1,2,0,0,2,1,1
918,0,1,2,2,1,0,0,1,2,0
325,1,2,1,2,2,1,0,2,0,1
107,2,2,0,1,2,1,0,2,1,1
60,2,2,2,0,1,1,0,2,1,1
297,1,2,2,2,1,2,1,1,2,1
47,2,2,2,1,0,0,1,0,0,1
458,1,0,1,2,2,2,2,1,0,1
450,1,0,2,0,2,0,2,1,0,1
770,1,2,2,0,1,2,0,0,1,0
439,1,0,2,1,1,2,2,0,2,1
415,1,1,0,2,1,0,2,2,2,1
270,2,0,1,0,2,1,1,2,2,1
302,1,2,2,1,2,1,0,2,0,1
332,1,2,1,1,2,0,2,2,0,1
37,2,2,2,1,0,1,2,1,0,1
573,0,1,1,0,2,1,2,2,2,1
799,1,2,0,1,0,0,1,2,2,0
699,2,1,0,2,1,2,0,1,0,0
164,2,1,1,2,0,2,2,0,1,1
703,2,1,0,0,1,2,0,1,2,0
66,2,2,2,0,1,0,1,0,0,1
331,1,2,1,1,2,1,2,2,2,1
540,0,1,2,1,2,0,2,2,1,1
575,0,1,1,0,0,0,2,2,2,1
917,0,1,2,2,1,0,2,1,0,0
637,2,2,1,2,0,2,1,1,1,0
748,1,2,2,2,0,2,1,1,1,0
182,2,1,1,0,2,0,2,1,2,1
400,1,1,2,0,2,0,2,0,0,1
169,2,1,1,2,0,0,2,0,0,1
481,1,0,0,1,0,0,2,2,2,1
136,2,1,2,0,2,1,2,1,0,1
424,1,0,2,2,2,2,0,1,1,1
231,2,0,2,1,2,0,2,1,1,1
596,0,0,2,1,2,0,2,0,1,1
139,2,1,2,0,2,1,0,1,2,1
873,1,0,0,2,1,0,2,2,1,0
868,1,0,1,2,1,2,2,2,1,0
478,1,0,0,2,1,1,2,2,2,1
741,1,2,2,2,1,2,1,0,1,0
554,0,1,2,0,2,1,2,0,0,1
166,2,1,1,2,0,1,2,0,2,1
491,0,2,2,1,1,2,0,1,2,1
497,0,2,1,2,2,2,1,0,1,1
148,2,1,1,2,2,2,0,1,0,1
311,1,2,2,0,2,1,1,2,0,1
556,0,1,2,0,2,0,2,0,1,1
422,1,0,2,2,2,2,1,1,0,1
535,0,1,2,1,2,2,2,0,1,1
953,1,2,2,2,1,1,1,2,2,0
798,1,2,0,1,0,2,1,0,2,0
122,2,1,2,1,2,2,1,1,2,1
199,2,1,0,2,1,0,2,2,1,1
20,2,2,2,1,2,0,0,1,1,1
260,2,0,1,1,2,2,0,1,2,1
691,2,1,1,2,1,2,1,2,0,0
289,2,0,0,1,2,1,0,0,2,1
413,1,1,0,2,2,2,0,1,2,1
108,2,2,0,1,2,1,0,1,2,1
752,1,2,2,1,2,0,1,1,2,0
583,0,1,0,1,2,1,2,2,2,1
941,0,0,1,0,1,2,1,2,2,0
912,0,2,0,1,1,1,0,2,2,0
82,2,2,1,2,1,0,2,1,0,1
586,0,1,0,0,1,0,2,2,2,1
168,2,1,1,2,0,0,2,1,2,1
250,2,0,1,2,1,1,2,0,2,1
753,1,2,2,1,2,0,1,0,0,0
233,2,0,2,1,1,2,1,0,2,1
560,0,1,2,0,0,2,1,0,2,1
565,0,1,1,2,2,2,1,0,2,1
307,1,2,2,1,1,2,0,0,2,1
293,2,0,0,0,2,1,0,1,2,1
176,2,1,1,1,1,2,2,2,2,1
572,0,1,1,1,0,2,2,2,2,1
942,2,2,1,1,2,2,2,1,1,0
624,0,0,0,1,0,1,2,2,2,1
857,1,0,2,1,2,2,1,0,0,0
758,1,2,2,1,1,1,2,0,2,0
294,2,0,0,0,2,0,1,1,2,1
281,2,0,0,2,1,0,2,1,0,1
185,2,1,1,0,1,0,2,2,2,1
736,2,0,0,1,1,1,2,2,0,0
192,2,1,0,2,2,1,1,0,2,1
43,2,2,2,1,0,1,0,0,0,1
83,2,2,1,2,1,0,2,0,1,1
16,2,2,2,1,2,1,0,1,0,1
368,1,1,2,2,2,2,1,0,0,1
388,1,1,2,1,1,2,2,2,2,1
757,1,2,2,1,1,1,2,2,0,0
544,0,1,2,1,1,2,0,2,2,1
171,2,1,1,1,2,2,1,2,2,1
258,2,0,1,2,0,0,2,0,1,1
742,1,2,2,2,1,2,0,1,1,0
433,1,0,2,1,2,2,0,1,2,1
125,2,1,2,1,2,1,2,0,0,1
314,1,2,2,0,2,0,1,2,1,1
41,2,2,2,1,0,1,0,2,1,1
864,1,0,2,0,1,2,2,0,1,0
616,0,0,1,1,1,2,2,2,2,1
386,1,1,2,1,2,0,2,2,0,1
87,2,2,1,1,2,2,1,1,2,1
488,0,2,2,1,2,0,2,1,1,1
633,2,2,1,2,1,1,0,2,1,0
585,0,1,0,1,0,0,2,2,2,1
557,0,1,2,0,1,2,1,2,2,1
285,2,0,0,2,0,0,2,1,1,1
806,1,1,2,2,1,0,2,2,1,0
648,2,2,1,0,2,2,1,1,1,0
210,2,1,0,1,2,1,0,2,2,1
635,2,2,1,2,1,0,1,1,2,0
430,1,0,2,2,0,2,1,1,2,1
909,0,2,0,2,0,2,1,1,1,0
894,0,2,1,2,1,2,1,1,2,0
851,1,0,2,2,1,2,1,2,1,0
549,0,1,2,1,0,1,2,2,2,1
722,2,0,1,2,1,1,1,2,2,0
98,2,2,1,0,2,1,0,1,2,1
499,0,2,1,2,2,1,1,2,0,1
238,2,0,2,0,1,2,1,1,2,1
600,0,0,2,1,0,2,1,0,2,1
18,2,2,2,1,2,0,1,1,0,1
922,0,1,1,2,1,2,2,1,2,0
626,2,2,1,2,2,1,1,0,1,0
695,2,1,1,0,2,1,2,2,1,0
525,0,2,0,0,2,0,1,2,1,1
493,0,2,2,0,2,1,2,1,1,1
72,2,2,2,0,0,1,1,0,0,1
874,1,0,0,1,2,2,1,2,0,0
664,2,2,0,1,1,1,2,2,1,0
306,1,2,2,1,1,2,2,1,2,1
156,2,1,1,2,2,0,1,0,2,1
109,2,2,0,1,2,0,1,2,1,1
0,2,2,2,2,1,1,2,1,1,1
411,1,1,0,2,2,2,1,0,2,1
613,0,0,1,2,2,2,0,0,1,1
118,2,1,2,2,0,1,2,1,0,1
811,1,1,1,2,2,1,2,2,0,0
910,0,2,0,1,1,1,2,2,0,0
24,2,2,2,1,1,2,1,0,0,1
134,2,1,2,1,0,2,1,0,2,1
73,2,2,2,0,0,1,0,1,0,1
207,2,1,0,1,2,2,1,0,2,1
658,2,2,1,0,0,1,2,0,1,0
903,0,2,1,0,2,1,2,0,1,0
665,2,2,0,1,1,1,2,1,2,0
510,0,2,1,0,2,2,1,2,1,1
384,1,1,2,1,2,2,0,0,2,1
485,0,2,2,1,2,1,2,0,1,1
797,1,2,0,1,0,2,1,2,0,0
776,1,2,1,2,1,2,1,2,0,0
36,2,2,2,1,0,2,0,1,1,1
932,0,0,2,1,1,1,0,2,2,0
227,2,0,2,1,2,1,2,1,0,1
927,0,1,0,0,1,2,2,1,2,0
220,2,1,0,0,2,0,1,0,2,1
251,2,0,1,2,1,0,2,2,1,1
453,1,0,2,0,1,2,1,2,2,1
824,1,1,1,2,0,2,2,1,2,0
590,0,0,2,1,2,2,2,1,1,1
237,2,0,2,0,2,1,1,1,2,1
177,2,1,1,1,0,0,2,2,2,1
462,1,0,1,2,2,2,0,2,1,1
733,2,0,1,0,0,1,2,2,1,0
555,0,1,2,0,2,0,2,1,0,1
785,1,2,1,0,1,2,1,2,2,0
577,0,1,0,2,2,2,1,2,1,1
10,2,2,2,2,0,1,1,0,1,1
234,2,0,2,1,1,2,0,1,2,1
629,2,2,1,2,1,2,1,1,0,0
698,2,1,0,2,1,2,1,1,2,0
820,1,1,1,2,1,2,2,2,0,0
711,2,0,2,1,1,1,2,0,0,0
444,1,0,2,1,0,1,2,2,2,1
80,2,2,1,2,1,1,2,1,2,1
151,2,1,1,2,2,1,2,0,0,1
17,2,2,2,1,2,1,0,0,1,1
746,1,2,2,2,1,0,1,2,1,0
318,1,2,1,2,2,2,2,1,1,1
327,1,2,1,2,2,0,0,2,1,1
395,1,1,2,0,2,2,0,1,2,1
111,2,2,0,0,2,1,1,2,1,1
160,2,1,1,2,1,1,2,2,2,1
893,0,2,1,2,1,2,1,2,1,0
850,1,0,2,2,1,2,2,1,1,0
911,0,2,0,1,1,1,2,0,2,0
173,2,1,1,1,2,1,2,2,2,1
115,2,1,2,2,1,1,2,2,1,1
150,2,1,1,2,2,1,2,1,2,1
886,0,2,2,1,1,1,1,2,2,0
449,1,0,2,0,2,1,2,0,0,1
558,0,1,2,0,1,2,0,0,2,1
58,2,2,2,0,1,1,1,2,0,1
316,1,2,2,0,1,2,0,1,2,1
520,0,2,0,1,2,1,0,2,0,1
802,1,2,0,0,1,0,2,2,1,0
300,1,2,2,1,2,1,2,1,2,1
421,1,1,0,0,0,0,2,2,2,1
755,1,2,2,1,1,2,1,2,0,0
97,2,2,1,0,2,1,1,0,2,1
740,1,2,2,2,2,0,1,1,1,0
710,2,0,2,1,1,1,2,1,2,0
272,2,0,1,0,2,0,1,0,2,1
659,2,2,1,0,0,1,0,2,1,0
542,0,1,2,1,2,0,2,0,0,1
530,0,1,2,2,2,1,2,0,1,1
418,1,1,0,1,0,2,2,2,2,1
342,1,2,1,0,2,0,0,2,0,1
908,0,2,0,2,2,0,1,1,1,0
269,2,0,1,0,2,1,2,1,2,1
190,2,1,0,2,2,1,2,1,0,1
707,2,0,2,2,0,0,1,1,1,0
291,2,0,0,1,2,0,0,1,2,1
508,0,2,1,1,1,0,2,2,2,1
819,1,1,1,2,2,0,0,0,2,0
275,2,0,0,2,2,1,2,1,1,1
901,0,2,1,2,0,1,0,2,1,0
26,2,2,2,1,1,2,0,0,1,1
828,1,1,1,2,0,2,0,0,2,0
371,1,1,2,2,2,1,2,2,1,1
31,2,2,2,1,1,0,0,2,1,1
954,1,2,1,2,2,1,2,1,2,0
606,0,0,2,0,1,2,0,1,2,1
715,2,0,2,0,2,0,1,1,1,0
940,0,0,1,0,2,1,2,2,1,0
705,2,0,2,2,2,1,1,1,1,0
773,1,2,2,0,1,0,0,2,1,0
738,2,0,0,1,1,1,0,2,2,0
533,0,1,2,2,0,2,1,1,2,1
63,2,2,2,0,1,0,2,1,1,1
78,2,2,1,2,2,1,1,1,2,1
298,1,2,2,1,2,2,2,1,1,1
829,1,1,1,2,0,0,2,2,0,0
729,2,0,1,0,2,1,0,2,1,0
935,0,0,1,2,2,1,0,2,1,0
121,2,1,2,1,2,2,2,1,1,1
249,2,0,1,2,1,1,2,2,0,1
282,2,0,0,2,1,0,2,0,1,1
692,2,1,1,2,1,2,1,0,2,0
595,0,0,2,1,2,0,2,1,0,1
56,2,2,2,0,1,1,2,1,0,1
254,2,0,1,2,0,2,2,1,1,1
165,2,1,1,2,0,1,2,2,0,1
766,1,2,2,1,0,0,1,0,2,0
489,0,2,2,1,2,0,1,2,1,1
406,1,1,2,0,0,2,0,0,2,1
290,2,0,0,1,2,0,1,0,2,1
774,1,2,1,2,2,1,2,0,1,0
938,0,0,1,2,1,0,1,2,2,0
783,1,2,1,1,0,2,1,2,2,0
70,2,2,2,0,0,1,1,2,1,1
906,0,2,1,0,1,0,1,2,2,0
228,2,0,2,1,2,1,2,0,1,1
534,0,1,2,1,2,2,2,1,0,1
614,0,0,1,2,1,1,2,2,2,1
454,1,0,2,0,1,2,0,0,2,1
312,1,2,2,0,2,1,0,2,1,1
502,0,2,1,1,2,2,0,2,1,1
834,1,1,1,1,2,2,0,2,2,0
523,0,2,0,0,2,1,1,2,0,1
604,0,0,2,0,2,0,2,1,1,1
854,1,0,2,2,1,0,2,0,1,0
641,2,2,1,1,1,2,1,2,0,0
133,2,1,2,1,1,2,0,0,2,1
200,2,1,0,2,1,0,2,0,0,1
131,2,1,2,1,2,0,0,1,2,1
226,2,0,2,2,0,1,2,1,1,1
923,0,1,1,2,1,2,1,2,2,0
642,2,2,1,1,1,2,1,0,2,0
602,0,0,2,0,2,1,2,1,0,1
394,1,1,2,0,2,2,1,0,2,1
147,2,1,1,2,2,2,1,0,0,1
805,1,1,2,2,1,2,0,2,1,0
536,0,1,2,1,2,2,1,0,2,1
232,2,0,2,1,2,0,1,1,2,1
655,2,2,1,0,1,1,1,2,2,0
181,2,1,1,0,2,1,0,2,2,1
211,2,1,0,1,2,0,2,1,2,1
657,2,2,1,0,1,0,1,0,2,0
463,1,0,1,2,2,2,0,1,2,1
933,0,0,2,0,2,2,1,1,1,0
154,2,1,1,2,2,0,2,1,0,1
734,2,0,0,2,2,0,1,1,1,0
898,0,2,1,2,1,0,1,2,0,0
818,1,1,1,2,2,0,0,2,0,0
781,1,2,1,2,0,1,2,2,1,0
730,2,0,1,0,1,2,1,2,0,0
566,0,1,1,2,2,2,0,2,1,1
638,2,2,1,2,0,1,1,2,1,0
914,0,1,2,2,1,2,2,1,1,0
457,1,0,2,0,0,2,0,1,2,1
40,2,2,2,1,0,1,1,0,2,1
772,1,2,2,0,1,0,2,0,1,0
702,2,1,0,0,1,2,2,1,0,0
438,1,0,2,1,2,0,2,0,0,1
907,0,2,1,0,0,1,2,2,1,0
130,2,1,2,1,2,0,1,0,2,1
273,2,0,1,0,2,0,0,1,2,1
55,2,2,2,0,1,2,0,1,1,1
158,2,1,1,2,1,2,2,2,1,1
201,2,1,0,2,0,2,2,1,1,1
926,0,1,0,2,1,0,2,1,2,0
48,2,2,2,1,0,0,0,1,0,1
44,2,2,2,1,0,0,2,1,1,1
767,1,2,2,0,2,2,1,1,1,0
193,2,1,0,2,2,1,0,1,2,1
516,0,2,0,2,2,1,1,2,1,1
62,2,2,2,0,1,1,0,0,0,1
96,2,2,1,0,2,1,1,2,0,1
202,2,1,0,2,0,1,2,2,1,1
445,1,0,2,0,2,2,2,1,1,1
618,0,0,1,0,1,0,2,2,2,1
875,1,0,0,1,2,2,1,0,2,0
548,0,1,2,1,0,2,0,0,2,1
716,2,0,2,0,0,2,1,1,1,0
727,2,0,1,1,1,2,1,2,2,0
357,1,2,0,1,0,1,2,2,2,1
900,0,2,1,2,0,1,2,0,1,0
884,0,2,2,1,1,1,2,1,2,0
230,2,0,2,1,2,1,0,1,2,1
700,2,1,0,2,1,0,0,1,2,0
743,1,2,2,2,1,1,2,0,1,0
455,1,0,2,0,1,1,2,2,2,1
939,0,0,1,2,0,1,2,2,1,0
631,2,2,1,2,1,1,1,2,0,0
469,1,0,1,0,2,1,2,2,2,1
402,1,1,2,0,1,2,0,2,2,1
308,1,2,2,1,0,2,0,1,2,1
