,parents,has_nurs,form,children,housing,finance,social,health,target
7319,1,0,1,3,2,1,0,0,0
12627,0,4,3,1,1,1,0,2,3
10003,0,2,3,1,0,1,2,1,3
8685,0,3,0,0,1,1,0,2,1
8288,1,4,3,1,2,0,1,0,0
6942,1,0,0,0,2,1,2,2,1
11676,0,0,3,0,0,1,2,2,1
7494,1,0,3,2,1,0,1,2,3
1806,2,1,0,1,2,0,1,2,1
8647,0,3,0,0,0,0,1,1,1
11528,0,0,1,1,2,0,1,0,0
9772,0,2,1,0,1,1,1,1,3
1518,2,2,2,0,0,0,1,2,1
6289,1,1,1,0,2,0,1,1,1
1919,2,1,0,3,2,1,0,0,0
3485,2,4,0,0,2,1,0,0,0
9906,0,2,1,3,2,0,1,2,3
3633,2,4,0,3,0,1,1,2,3
4879,1,3,3,2,2,0,0,1,1
3603,2,4,0,2,1,0,2,2,3
5900,1,2,2,1,0,1,2,0,0
9262,0,3,3,3,2,1,0,1,3
1453,2,2,3,2,1,1,2,1,1
3956,2,4,3,1,0,1,2,0,0
8146,1,4,1,2,1,1,0,1,3
4643,1,3,1,1,1,1,1,0,0
2894,2,0,1,1,2,1,2,0,0
8621,1,4,2,3,2,1,1,0,0
2086,2,1,1,2,2,1,1,1,1
1814,2,1,0,1,2,1,2,0,0
7690,1,0,2,2,2,0,2,1,3
80,2,3,0,1,2,0,1,0,0
3101,2,0,3,1,2,0,2,0,0
8904,0,3,1,0,1,1,2,2,1
11687,0,0,3,0,2,0,2,0,0
9401,0,3,2,2,0,0,2,0,0
83,2,3,0,1,2,1,0,0,0
8972,0,3,1,2,0,0,1,0,0
8689,0,3,0,0,1,1,2,1,1
5493,1,2,1,1,1,0,2,2,1
4851,1,3,3,1,1,1,0,2,1
3746,2,4,1,1,2,0,0,0,0
11229,0,1,2,3,1,1,1,2,3
8754,0,3,0,2,0,0,1,2,1
6661,1,1,3,3,2,0,0,1,3
10022,0,2,3,1,2,1,2,0,0
9732,0,2,1,0,0,1,2,2,1
6906,1,1,2,3,1,1,2,2,1
7675,1,0,2,2,0,0,1,1,3
8149,1,4,1,2,1,1,2,1,3
10221,0,2,2,1,0,1,1,2,3
8605,1,4,2,3,2,0,0,1,3
7256,1,0,1,2,2,0,0,0,0
1182,2,2,1,1,1,1,2,2,1
11486,0,0,1,0,1,0,0,0,0
12715,0,4,3,3,2,0,1,1,3
12717,0,4,3,3,2,1,0,2,3
2733,2,0,0,2,2,1,1,2,3
9323,0,3,2,0,2,1,1,0,0
5034,1,3,2,1,0,1,2,2,1
1391,2,2,3,1,1,0,2,0,0
8208,1,4,3,0,0,0,0,2,1
10220,0,2,2,1,0,1,2,0,0
1661,2,2,2,2,1,0,2,0,0
3489,2,4,0,0,2,1,1,2,3
10092,0,2,3,2,1,1,2,2,1
1659,2,2,2,2,1,0,2,2,1
8095,1,4,1,1,1,1,2,1,3
7403,1,0,3,1,0,0,2,0,0
7271,1,0,1,2,2,1,1,0,0
2453,2,1,2,1,2,0,2,0,0
7217,1,0,1,1,2,1,1,0,0
11138,0,1,2,2,0,1,2,0,0
1861,2,1,0,2,2,0,1,1,1
3624,2,4,0,3,0,0,1,2,3
2424,2,1,2,0,1,1,2,2,1
6190,1,1,0,2,2,1,1,1,3
3204,2,0,3,3,2,0,0,2,1
733,2,3,2,1,2,1,2,1,1
5583,1,2,1,3,2,0,2,2,1
9560,0,2,0,1,0,0,0,0,0
8921,0,3,1,1,0,1,0,0,0
8706,0,3,0,1,0,1,2,2,1
2206,2,1,3,0,1,1,0,1,1
12062,0,0,2,3,2,0,0,0,0
9285,0,3,3,3,1,1,1,2,3
7856,1,4,0,1,2,0,1,0,0
4868,1,3,3,2,0,0,1,0,0
10851,0,1,3,0,1,1,1,2,3
603,2,3,3,3,0,1,0,2,1
11758,0,0,3,1,1,0,2,1,3
11571,0,0,1,2,0,1,1,2,3
11887,0,0,2,0,0,0,1,1,3
11774,0,0,3,2,0,0,0,0,0
11761,0,0,3,1,1,0,1,1,3
10210,0,2,2,1,0,0,2,1,1
4345,1,3,0,0,2,0,1,1,1
6733,1,1,2,0,1,0,0,1,3
775,2,3,2,2,2,0,0,1,1
4432,1,3,0,2,0,0,2,1,1
10913,0,1,3,2,0,0,2,0,0
12574,0,4,3,0,1,1,0,1,3
4824,1,3,3,1,2,0,0,2,1
9589,0,2,0,1,2,1,2,1,1
7168,1,0,1,0,1,0,2,1,3
827,2,3,2,3,0,1,1,0,0
8312,1,4,3,1,1,1,2,0,0
11142,0,1,2,2,2,0,0,2,3
10541,0,1,0,3,0,1,0,0,0
7870,1,4,0,1,1,0,2,1,3
598,2,3,3,3,0,0,2,1,1
8015,1,4,1,0,2,0,2,0,0
12726,0,4,3,3,1,0,0,2,3
10075,0,2,3,2,2,1,2,1,3
9795,0,2,1,1,2,0,2,2,1
9494,0,3,2,3,1,0,1,0,0
5843,1,2,2,0,0,1,0,0,0
8110,1,4,1,2,0,1,0,1,3
2337,2,1,3,3,0,1,1,2,1
9235,0,3,3,3,0,0,0,1,1
1653,2,2,2,2,2,1,1,2,1
1939,2,1,0,3,1,1,2,1,1
7411,1,0,3,1,0,1,2,1,3
1232,2,2,1,2,1,0,1,0,0
3618,2,4,0,3,0,0,0,2,1
7039,1,0,0,2,2,0,0,1,3
10779,0,1,1,3,2,1,1,2,3
3277,2,0,2,0,1,0,0,1,3
6406,1,1,1,2,2,1,1,1,3
2344,2,1,3,3,2,0,2,1,1
1716,2,2,2,3,1,0,1,2,1
1061,2,2,0,3,2,1,1,0,0
6414,1,1,1,2,1,0,1,2,3
6761,1,1,2,1,0,1,0,0,0
1503,2,2,3,3,1,1,0,2,1
6302,1,1,1,0,1,0,0,0,0
1898,2,1,0,3,0,0,1,0,0
8976,0,3,1,2,0,1,2,2,1
1457,2,2,3,2,1,1,1,0,0
3342,2,0,2,1,1,1,2,2,1
1251,2,2,1,3,0,1,0,2,1
6817,1,1,2,2,0,1,2,1,3
12617,0,4,3,1,2,1,1,0,0
10614,0,1,1,0,2,1,2,2,1
4181,2,4,2,1,2,0,2,0,0
3549,2,4,0,1,1,0,2,2,3
4704,1,3,1,3,0,0,1,2,1
10247,0,2,2,1,1,0,2,0,0
7969,1,4,0,3,2,1,2,1,3
10202,0,2,2,0,1,1,2,0,0
1091,2,2,1,0,0,1,0,0,0
539,2,3,3,1,1,1,1,0,0
5870,1,2,2,0,1,0,0,0,0
6291,1,1,1,0,2,1,0,2,1
11811,0,0,3,2,1,0,2,2,3
823,2,3,2,3,0,1,2,1,1
5765,1,2,3,2,1,0,2,0,0
8640,0,3,0,0,0,0,0,2,1
9072,0,3,3,0,0,0,0,2,1
2243,2,1,3,1,2,1,0,0,0
6735,1,1,2,0,1,0,2,2,1
7011,1,0,0,1,1,1,0,2,3
7708,1,0,2,2,1,0,2,1,3
5208,1,2,0,0,2,0,1,2,1
3299,2,0,2,1,0,0,2,0,0
4786,1,3,3,0,2,1,1,1,1
3815,2,4,1,2,2,1,1,0,0
9130,0,3,3,1,0,0,2,1,1
1128,2,2,1,0,1,1,2,2,1
6147,1,1,0,1,1,1,0,2,1
11716,0,0,3,0,1,1,1,1,3
2234,2,1,3,1,2,0,0,0,0
4407,1,3,0,1,2,1,1,2,1
3814,2,4,1,2,2,1,1,1,3
9162,0,3,3,1,1,0,0,2,1
6038,1,2,2,3,1,0,1,0,0
4664,1,3,1,2,2,0,0,0,0
1434,2,2,3,2,2,1,2,2,1
1859,2,1,0,2,2,0,2,0,0
8052,1,4,1,1,0,0,1,2,3
11853,0,0,3,3,2,1,0,2,3
1088,2,2,1,0,0,0,1,0,0
4450,1,3,0,2,2,0,2,1,1
12182,0,4,0,1,2,1,2,0,0
310,2,3,1,1,1,0,2,1,1
3720,2,4,1,0,1,1,2,2,3
7123,1,0,0,3,1,1,2,1,3
2355,2,1,3,3,2,1,1,2,1
5328,1,2,0,2,1,0,0,2,1
7832,1,4,0,1,0,0,0,0,0
7896,1,4,0,2,0,1,2,2,3
11420,0,0,0,3,2,0,1,0,0
8266,1,4,3,1,0,0,2,1,3
10563,0,1,0,3,2,1,1,2,3
4560,1,3,1,0,2,0,1,2,1
10743,0,1,1,2,1,1,1,2,3
2729,2,0,0,2,2,1,0,0,0
10990,0,1,3,3,2,1,0,1,3
2922,2,0,1,2,0,0,1,2,1
274,2,3,1,1,0,0,2,1,1
3612,2,4,0,2,1,1,2,2,3
7506,1,0,3,3,0,0,0,2,1
11284,0,0,0,0,1,1,1,1,3
11708,0,0,3,0,1,0,1,0,0
9405,0,3,2,2,0,1,0,2,1
4952,1,3,3,3,1,0,0,0,0
4261,2,4,2,2,1,1,2,1,3
9197,0,3,3,2,0,1,1,0,0
1554,2,2,2,0,1,0,1,2,1
7237,1,0,1,2,0,0,0,1,3
6065,1,1,0,0,0,1,1,0,0
11602,0,0,1,2,1,1,0,1,3
4292,2,4,2,3,2,0,1,0,0
6321,1,1,1,1,0,0,2,2,1
4516,1,3,0,3,2,1,1,1,1
10897,0,1,3,1,1,0,1,1,3
9225,0,3,3,2,1,1,0,2,1
8990,0,3,1,2,2,0,1,0,0
10135,0,2,3,3,1,0,0,1,3
7699,1,0,2,2,2,1,2,1,3
9624,0,2,0,2,0,1,2,2,1
2362,2,1,3,3,1,0,2,1,1
8757,0,3,0,2,0,1,0,2,1
978,2,2,0,2,0,0,1,2,1
10104,0,2,3,3,0,0,1,2,1
12466,0,4,1,2,1,1,0,1,3
8376,1,4,3,3,0,0,1,2,3
361,2,3,1,2,1,0,0,1,1
6494,1,1,3,0,0,1,2,0,0
4378,1,3,0,1,0,0,2,1,1
1987,2,1,1,0,1,0,1,1,1
4060,2,4,3,3,0,1,0,1,3
457,2,3,3,0,2,0,1,1,1
2805,2,0,0,3,1,1,1,2,3
7192,1,0,1,1,0,1,0,1,3
782,2,3,2,2,2,0,1,0,0
1552,2,2,2,0,1,0,2,1,1
11653,0,0,1,3,1,0,1,1,3
10708,0,1,1,2,0,1,1,1,3
550,2,3,3,2,0,1,0,1,1
866,2,2,0,0,0,0,0,0,0
6138,1,1,0,1,1,0,0,2,1
333,2,3,1,2,0,1,0,2,1
8300,1,4,3,1,1,0,0,0,0
12491,0,4,1,3,0,1,1,0,0
2125,2,1,1,3,2,0,0,1,1
398,2,3,1,3,2,0,0,0,0
4011,2,4,3,2,0,1,1,2,3
3373,2,0,2,2,2,0,1,1,3
10043,0,2,3,1,1,1,1,0,0
10251,0,2,2,1,1,1,0,2,1
7186,1,0,1,1,0,0,2,1,3
8491,1,4,2,1,0,1,2,1,3
10410,0,1,0,0,1,0,1,2,3
6659,1,1,3,3,0,1,1,0,0
11361,0,0,0,2,2,0,2,2,3
8057,1,4,1,1,0,1,0,0,0
9259,0,3,3,3,2,0,1,1,3
12211,0,4,0,2,0,0,1,1,3
993,2,2,0,2,2,0,2,2,1
12849,0,4,2,1,1,1,1,2,3
1754,2,1,0,0,2,0,1,0,0
3512,2,4,0,1,0,0,0,0,0
1366,2,2,3,1,0,1,1,1,1
10504,0,1,0,2,2,1,0,1,3
5026,1,3,2,1,0,0,2,1,1
7596,1,0,2,0,1,0,0,2,3
9540,0,2,0,0,1,0,0,2,1
820,2,3,2,3,0,1,0,1,1
5762,1,2,3,2,1,0,0,0,0
8958,0,3,1,1,1,1,2,2,1
4073,2,4,3,3,2,0,2,0,0
510,2,3,3,1,2,0,1,2,1
12254,0,4,0,2,1,1,2,0,0
12269,0,4,0,3,0,1,0,0,0
4369,1,3,0,0,1,1,2,1,1
10495,0,1,0,2,2,0,0,1,3
64,2,3,0,1,0,1,0,1,1
2084,2,1,1,2,2,1,2,0,0
8729,0,3,0,1,2,1,1,0,0
4537,1,3,1,0,0,0,0,1,1
4143,2,4,2,0,1,0,2,2,3
9702,0,2,0,3,1,0,0,2,1
4632,1,3,1,1,1,0,1,2,1
12041,0,0,2,2,1,1,1,0,0
6040,1,2,2,3,1,1,0,1,1
2062,2,1,1,2,0,1,0,1,1
2378,2,1,2,0,0,0,0,0,0
4284,2,4,2,3,2,0,0,2,3
2672,2,0,0,1,2,0,1,0,0
12393,0,4,1,1,2,1,0,2,1
1930,2,1,0,3,1,0,2,1,1
2156,2,1,1,3,1,1,2,0,0
474,2,3,3,0,1,0,1,2,1
7698,1,0,2,2,2,1,2,2,3
3645,2,4,0,3,2,1,0,2,3
3796,2,4,1,2,0,1,1,1,3
4062,2,4,3,3,0,1,2,2,3
8090,1,4,1,1,1,0,1,0,0
654,2,3,2,0,0,0,1,2,1
11526,0,0,1,1,2,0,1,2,3
5768,1,2,3,2,1,0,1,0,0
183,2,3,0,3,2,0,2,2,1
4078,2,4,3,3,2,1,0,1,3
9339,0,3,2,0,1,1,1,2,3
4888,1,3,3,2,2,1,0,1,1
11844,0,0,3,3,2,0,0,2,3
1336,2,2,3,0,1,0,2,1,1
8170,1,4,1,3,0,1,1,1,3
1077,2,2,0,3,1,1,1,2,1
2556,2,1,2,3,2,0,0,2,1
5587,1,2,1,3,2,0,1,1,1
4121,2,4,2,0,0,1,1,0,0
1766,2,1,0,0,1,0,0,0,0
9536,0,2,0,0,2,1,2,0,0
10188,0,2,2,0,1,0,0,2,1
9343,0,3,2,1,0,0,0,1,1
4283,2,4,2,3,0,1,1,0,0
12465,0,4,1,2,1,1,0,2,3
9676,0,2,0,3,0,1,0,1,3
3740,2,4,1,1,0,1,2,0,0
2353,2,1,3,3,2,1,2,1,1
9576,0,2,0,1,2,0,0,2,1
5804,1,2,3,3,2,0,1,0,0
6137,1,1,0,1,2,1,1,0,0
7419,1,0,3,1,2,0,2,2,3
6074,1,1,0,0,2,0,1,0,0
3180,2,0,3,2,1,1,2,2,1
12336,0,4,1,0,2,0,1,2,3
4582,1,3,1,0,1,1,0,1,1
8061,1,4,1,1,0,1,1,2,3
9382,0,3,2,1,1,0,2,1,3
9287,0,3,3,3,1,1,1,0,0
2602,2,0,0,0,0,1,0,1,1
9260,0,3,3,3,2,0,1,0,0
6951,1,0,0,0,1,0,2,2,1
6932,1,0,0,0,2,0,0,0,0
6859,1,1,2,3,0,0,0,1,1
2090,2,1,1,2,1,0,0,0,0
8556,1,4,2,2,2,0,1,2,3
4104,2,4,2,0,0,0,0,2,1
12463,0,4,1,2,1,0,1,1,3
1084,2,2,1,0,0,0,2,1,1
903,2,2,0,0,1,0,2,2,4
9565,0,2,0,1,0,0,1,1,1
7656,1,0,2,1,1,0,1,2,3
4719,1,3,1,3,2,0,2,2,1
2367,2,1,3,3,1,1,0,2,1
356,2,3,1,2,2,1,2,0,0
6447,1,1,1,3,2,0,2,2,1
8023,1,4,1,0,2,1,2,1,3
2260,2,1,3,1,1,1,0,1,1
4164,2,4,2,1,0,0,1,2,3
11775,0,0,3,2,0,0,2,2,1
1321,2,2,3,0,2,0,1,1,1
113,2,3,0,2,0,0,2,0,0
10291,0,2,2,2,2,1,2,1,3
11272,0,0,0,0,1,0,2,1,3
3206,2,0,3,3,2,0,0,0,0
1115,2,2,1,0,2,1,1,0,0
2024,2,1,1,1,2,0,1,0,0
9028,0,3,1,3,0,1,0,1,3
3201,2,0,3,3,0,1,1,2,3
617,2,3,3,3,2,0,2,0,0
1912,2,1,0,3,2,0,2,1,1
1968,2,1,1,0,2,0,1,2,1
9520,0,2,0,0,0,1,1,1,1
6584,1,1,3,1,1,1,2,0,0
6598,1,1,3,2,0,1,0,1,3
336,2,3,1,2,0,1,2,2,1
7336,1,0,1,3,1,1,0,1,3
2048,2,1,1,1,1,1,2,0,0
8385,1,4,3,3,0,1,1,2,3
10976,0,1,3,3,0,1,2,0,0
3363,2,0,2,2,0,1,1,2,3
4010,2,4,3,2,0,1,2,0,0
1808,2,1,0,1,2,0,1,0,0
8377,1,4,3,3,0,0,1,1,3
3824,2,4,1,2,1,0,1,0,0
6982,1,0,0,1,0,1,1,1,3
10773,0,1,1,3,2,1,0,2,3
7062,1,0,0,2,1,0,1,2,3
3295,2,0,2,1,0,0,0,1,1
5549,1,2,1,2,1,0,2,0,0
9054,0,3,1,3,1,0,0,2,1
1394,2,2,3,1,1,0,1,0,0
9035,0,3,1,3,0,1,1,0,0
4376,1,3,0,1,0,0,0,0,0
5887,1,2,2,1,0,0,0,1,1
4592,1,3,1,1,0,0,0,0,0
7008,1,0,0,1,1,0,1,2,3
6269,1,1,1,0,0,0,2,0,0
2976,2,0,1,3,0,0,1,2,1
8484,1,4,2,1,0,0,1,2,3
769,2,3,2,2,0,1,2,1,1
43,2,3,0,0,1,0,1,1,1
9727,0,2,1,0,0,0,1,1,1
623,2,3,3,3,2,1,0,0,0
6512,1,1,3,0,2,1,2,0,0
7536,1,0,3,3,2,1,2,2,3
6532,1,1,3,0,1,1,1,1,3
7007,1,0,0,1,1,0,2,0,0
7483,1,0,3,2,2,1,2,1,3
6919,1,0,0,0,0,0,1,1,1
3519,2,4,0,1,0,1,0,2,1
1721,2,2,2,3,1,1,0,0,0
5969,1,2,2,2,2,1,0,0,0
7095,1,0,0,3,2,0,2,2,3
10299,0,2,2,2,1,0,2,2,1
553,2,3,3,2,0,1,2,1,1
7818,1,4,0,0,1,0,1,2,3
8957,0,3,1,1,1,1,0,0,0
9361,0,3,2,1,2,0,0,1,3
7628,1,0,2,1,0,1,2,0,0
12160,0,4,0,1,0,1,0,1,3
5304,1,2,0,2,0,1,2,2,1
4326,1,3,0,0,0,0,1,2,1
5714,1,2,3,1,1,0,1,0,0
7077,1,0,0,3,0,0,2,2,1
5396,1,2,0,3,1,1,2,0,0
12343,0,4,1,0,2,1,2,1,3
12464,0,4,1,2,1,0,1,0,0
9778,0,2,1,1,0,0,2,1,1
12570,0,4,3,0,1,0,1,2,3
1576,2,2,2,1,0,1,0,1,1
4373,1,3,0,0,1,1,1,0,0
3550,2,4,0,1,1,0,2,1,3
3514,2,4,0,1,0,0,2,1,3
1312,2,2,3,0,0,1,1,1,1
8718,0,3,0,1,2,0,1,2,1
10483,0,1,0,2,0,0,1,1,3
11860,0,0,3,3,2,1,1,1,3
7522,1,0,3,3,0,1,1,1,3
9021,0,3,1,3,0,0,2,2,1
173,2,3,0,3,0,1,0,0,0
3270,2,0,2,0,2,1,2,2,1
2207,2,1,3,0,1,1,0,0,0
1263,2,2,1,3,2,0,2,2,1
5604,1,2,1,3,1,0,1,2,1
9480,0,3,2,3,2,1,2,2,1
951,2,2,0,1,2,1,1,2,1
12842,0,4,2,1,1,0,1,0,0
1706,2,2,2,3,2,1,2,0,0
5763,1,2,3,2,1,0,2,2,1
4645,1,3,1,2,0,0,0,1,1
9331,0,3,2,0,1,0,1,1,3
11544,0,0,1,1,1,0,1,2,3
3077,2,0,3,0,1,1,1,0,0
9190,0,3,3,2,0,1,0,1,3
11950,0,0,2,1,0,1,1,1,3
4140,2,4,2,0,1,0,0,2,3
10984,0,1,3,3,2,0,2,1,3
4934,1,3,3,3,2,0,0,0,0
10025,0,2,3,1,2,1,1,0,0
8578,1,4,2,2,1,1,0,1,3
41,2,3,0,0,1,0,2,0,0
8292,1,4,3,1,2,1,2,2,3
1464,2,2,3,3,0,0,1,2,1
10120,0,2,3,3,2,0,2,1,3
9409,0,3,2,2,0,1,2,1,3
4815,1,3,3,1,0,1,0,2,1
8521,1,4,2,1,1,0,1,1,3
1258,2,2,1,3,0,1,1,1,1
12772,0,4,2,0,2,1,0,1,3
3632,2,4,0,3,0,1,2,0,0
6107,1,1,0,1,0,0,2,0,0
67,2,3,0,1,0,1,2,1,1
6281,1,1,1,0,0,1,1,0,0
12202,0,4,0,1,1,1,1,1,3
6631,1,1,3,2,1,0,1,1,3
11423,0,0,0,3,2,1,0,0,0
8652,0,3,0,0,0,1,2,2,1
548,2,3,3,2,0,0,1,0,0
9807,0,2,1,1,2,1,1,2,1
402,2,3,1,3,2,0,1,2,1
10922,0,1,3,2,0,1,2,0,0
1833,2,1,0,1,1,1,1,2,1
3166,2,0,3,2,2,1,1,1,3
9256,0,3,3,3,2,0,2,1,3
11809,0,0,3,2,1,0,0,1,3
845,2,3,2,3,2,1,1,0,0
3822,2,4,1,2,1,0,1,2,3
10052,0,2,3,2,0,0,1,0,0
8970,0,3,1,2,0,0,1,2,1
1655,2,2,2,2,2,1,1,0,0
5553,1,2,1,2,1,1,0,2,1
3829,2,4,1,2,1,1,2,1,3
11,2,3,0,0,0,1,0,0,0
11069,0,1,2,0,1,1,1,0,0
3336,2,0,2,1,1,0,1,2,3
4420,1,3,0,1,1,1,0,1,1
3143,2,0,3,2,0,1,0,0,0
6355,1,1,1,1,1,0,0,1,3
10918,0,1,3,2,0,1,0,1,3
4437,1,3,0,2,0,1,0,2,1
12105,0,4,0,0,0,1,0,2,1
3544,2,4,0,1,2,1,1,1,3
8540,1,4,2,2,0,0,1,0,0
11960,0,0,2,1,2,0,1,0,0
5544,1,2,1,2,1,0,0,2,1
9695,0,2,0,3,2,1,0,0,0
10384,0,1,0,0,0,1,1,1,3
6887,1,1,2,3,2,1,0,0,0
12712,0,4,3,3,2,0,2,1,3
746,2,3,2,1,1,0,1,0,0
2611,2,0,0,0,2,0,0,1,1
8643,0,3,0,0,0,0,2,2,1
7072,1,0,0,2,1,1,1,1,3
2204,2,1,3,0,1,0,1,0,0
7459,1,0,3,2,0,0,1,1,3
958,2,2,0,1,1,0,2,1,1
979,2,2,0,2,0,0,1,1,1
9511,0,2,0,0,0,0,1,1,1
6276,1,1,1,0,0,1,2,2,1
9320,0,3,2,0,2,1,2,0,0
10159,0,2,2,0,0,0,1,1,1
8675,0,3,0,0,2,1,1,0,0
478,2,3,3,0,1,1,0,1,1
1592,2,2,2,1,2,0,1,0,0
3631,2,4,0,3,0,1,2,1,3
2601,2,0,0,0,0,1,0,2,1
5480,1,2,1,1,2,0,1,0,0
7282,1,0,1,2,1,1,0,1,3
4680,1,3,1,2,1,0,0,2,1
11316,0,0,0,1,2,1,2,2,1
8926,0,3,1,1,0,1,1,1,1
5158,1,3,2,3,2,1,0,1,1
4796,1,3,3,0,1,0,1,0,0
3898,2,4,3,0,0,1,0,1,3
327,2,3,1,2,0,0,2,2,4
1974,2,1,1,0,2,1,2,2,4
4570,1,3,1,0,2,1,1,1,1
9065,0,3,1,3,1,1,0,0,0
6080,1,1,0,0,2,1,2,0,0
6543,1,1,3,1,0,1,0,2,1
8386,1,4,3,3,0,1,1,1,3
1030,2,2,0,3,0,0,2,1,1
6041,1,2,2,3,1,1,0,0,0
9986,0,2,3,0,1,1,2,0,0
6969,1,0,0,1,0,0,2,2,1
4726,1,3,1,3,2,1,0,1,1
10590,0,1,1,0,0,0,1,2,3
150,2,3,0,2,1,0,1,2,1
12803,0,4,2,1,0,0,2,0,0
7147,1,0,1,0,2,0,0,1,3
1702,2,2,2,3,2,1,0,1,1
2826,2,0,1,0,2,0,0,2,1
12534,0,4,3,0,0,0,1,2,3
1631,2,2,2,2,0,1,0,0,0
11380,0,0,0,2,1,0,2,1,3
8347,1,4,3,2,2,1,2,1,3
7164,1,0,1,0,1,0,0,2,3
1572,2,2,2,1,0,0,1,2,1
2489,2,1,2,2,0,0,2,0,0
8335,1,4,3,2,2,0,0,1,3
4481,1,3,0,2,1,1,1,0,0
7296,1,0,1,3,0,0,1,2,3
4484,1,3,0,3,0,0,0,0,0
12639,0,4,3,2,0,0,2,2,1
8279,1,4,3,1,0,1,1,0,0
1580,2,2,2,1,0,1,2,0,0
932,2,2,0,1,0,1,2,0,0
12740,0,4,3,3,1,1,2,0,0
9654,0,2,0,2,1,0,1,2,3
5137,1,3,2,3,0,0,1,1,1
1941,2,1,0,3,1,1,1,2,1
4517,1,3,0,3,2,1,1,0,0
10,2,3,0,0,0,1,0,1,1
7078,1,0,0,3,0,0,2,1,3
7015,1,0,0,1,1,1,2,1,3
5564,1,2,1,3,0,0,0,0,0
10145,0,2,3,3,1,1,0,0,0
2557,2,1,2,3,2,0,0,1,1
12812,0,4,2,1,0,1,2,0,0
12917,0,4,2,3,0,1,0,0,0
1355,2,2,3,1,0,0,2,0,0
2380,2,1,2,0,0,0,2,1,1
1347,2,2,3,0,1,1,1,2,1
2608,2,0,0,0,0,1,1,1,1
8097,1,4,1,1,1,1,1,2,3
8203,1,4,1,3,1,1,2,1,3
12900,0,4,2,2,1,1,2,2,3
11251,0,0,0,0,2,0,0,1,3
6978,1,0,0,1,0,1,2,2,1
3367,2,0,2,2,2,0,0,1,3
268,2,3,1,0,1,1,1,1,1
4221,2,4,2,2,0,1,0,2,3
2213,2,1,3,0,1,1,1,0,0
9706,0,2,0,3,1,0,2,1,3
6824,1,1,2,2,2,0,0,0,0
5942,1,2,2,2,0,0,0,0,0
4286,2,4,2,3,2,0,0,0,0
3981,2,4,3,1,1,0,2,2,3
9954,0,2,3,0,2,0,0,2,1
6663,1,1,3,3,2,0,2,2,1
12382,0,4,1,1,0,1,1,1,3
9040,0,3,1,3,2,0,2,1,3
11436,0,0,0,3,1,0,1,2,3
745,2,3,2,1,1,0,1,1,1
2488,2,1,2,2,0,0,2,1,1
9239,0,3,3,3,0,0,2,0,0
3754,2,4,1,1,2,1,0,1,3
12469,0,4,1,2,1,1,2,1,3
10473,0,1,0,1,1,1,1,2,3
