,age,fnlwgt,education_num,capital_gain,capital_loss,hours_per_week,workclass,education,marital_status,occupation,relationship,race,sex,native_country,target
31704,1.0,1.0,2.0,0.0,0.0,1.0,4.0,11.0,2.0,3.0,0.0,4.0,1.0,39.0,0
28269,1.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,4.0,10.0,1.0,4.0,1.0,39.0,0
11529,0.0,0.0,2.0,0.0,0.0,2.0,5.0,11.0,4.0,12.0,3.0,4.0,1.0,39.0,0
29217,0.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,4.0,6.0,1.0,4.0,1.0,39.0,0
11064,0.0,1.0,2.0,0.0,0.0,3.0,4.0,15.0,2.0,4.0,0.0,4.0,1.0,39.0,0
31252,2.0,0.0,2.0,0.0,0.0,2.0,4.0,15.0,2.0,4.0,0.0,4.0,1.0,39.0,1
35341,1.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,2.0,14.0,0.0,4.0,1.0,39.0,0
43299,0.0,0.0,2.0,0.0,0.0,0.0,7.0,15.0,4.0,12.0,1.0,1.0,0.0,0.0,0
46262,3.0,0.0,3.0,0.0,0.0,1.0,2.0,9.0,2.0,4.0,0.0,4.0,1.0,39.0,1
6476,1.0,0.0,4.0,0.0,0.0,1.0,2.0,12.0,4.0,10.0,1.0,2.0,0.0,39.0,0
10498,3.0,0.0,2.0,0.0,2.0,0.0,6.0,11.0,2.0,12.0,0.0,4.0,1.0,39.0,0
39361,0.0,1.0,2.0,0.0,0.0,1.0,0.0,15.0,4.0,0.0,3.0,1.0,1.0,0.0,0
44556,1.0,0.0,3.0,0.0,0.0,2.0,2.0,9.0,0.0,10.0,4.0,4.0,0.0,39.0,0
33472,0.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,2.0,12.0,2.0,4.0,0.0,39.0,0
5699,0.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,4.0,12.0,1.0,4.0,1.0,39.0,0
44781,1.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,5.0,1.0,1.0,3.0,1.0,39.0,0
47412,1.0,0.0,1.0,0.0,0.0,2.0,4.0,6.0,2.0,7.0,0.0,4.0,1.0,39.0,0
46850,1.0,0.0,3.0,0.0,0.0,1.0,6.0,8.0,2.0,5.0,0.0,4.0,1.0,39.0,0
38357,3.0,0.0,3.0,0.0,0.0,2.0,5.0,9.0,2.0,12.0,0.0,4.0,1.0,39.0,1
18793,1.0,0.0,2.0,0.0,0.0,1.0,6.0,11.0,2.0,3.0,0.0,4.0,1.0,39.0,0
25604,2.0,0.0,3.0,0.0,0.0,2.0,4.0,7.0,2.0,10.0,0.0,4.0,1.0,39.0,1
26672,0.0,0.0,2.0,0.0,0.0,2.0,4.0,1.0,2.0,3.0,0.0,4.0,1.0,39.0,0
10996,1.0,0.0,3.0,0.0,0.0,2.0,7.0,7.0,2.0,11.0,0.0,4.0,1.0,39.0,0
45147,0.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,4.0,12.0,3.0,4.0,1.0,39.0,0
17813,0.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,2.0,14.0,5.0,4.0,0.0,39.0,1
9598,2.0,0.0,2.0,0.0,0.0,1.0,4.0,15.0,0.0,8.0,3.0,4.0,1.0,39.0,0
47349,0.0,1.0,2.0,0.0,0.0,1.0,4.0,1.0,4.0,12.0,3.0,4.0,0.0,39.0,0
37831,1.0,0.0,3.0,0.0,0.0,1.0,4.0,9.0,4.0,10.0,1.0,4.0,0.0,39.0,0
19656,1.0,0.0,4.0,0.0,0.0,1.0,4.0,12.0,4.0,1.0,3.0,4.0,1.0,39.0,0
32323,1.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,2.0,3.0,0.0,4.0,1.0,39.0,0
23601,2.0,0.0,3.0,0.0,1.0,1.0,2.0,7.0,5.0,4.0,1.0,4.0,1.0,39.0,0
41096,1.0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,0.0,8.0,4.0,2.0,0.0,39.0,0
32015,1.0,0.0,3.0,0.0,0.0,1.0,4.0,9.0,4.0,8.0,1.0,4.0,1.0,39.0,0
281,1.0,0.0,2.0,0.0,0.0,1.0,2.0,15.0,2.0,3.0,0.0,4.0,1.0,39.0,1
588,2.0,0.0,1.0,0.0,2.0,2.0,4.0,0.0,2.0,3.0,0.0,4.0,1.0,39.0,1
13345,1.0,0.0,2.0,0.0,0.0,2.0,4.0,11.0,2.0,7.0,5.0,4.0,0.0,39.0,1
29821,1.0,0.0,2.0,0.0,0.0,1.0,4.0,15.0,0.0,10.0,1.0,4.0,0.0,39.0,0
1235,0.0,0.0,2.0,0.0,0.0,1.0,4.0,15.0,4.0,12.0,1.0,4.0,0.0,39.0,0
30475,1.0,0.0,2.0,0.0,0.0,1.0,6.0,11.0,2.0,3.0,0.0,4.0,1.0,39.0,0
24585,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,4.0,8.0,3.0,2.0,0.0,39.0,0
29182,1.0,0.0,2.0,0.0,0.0,3.0,4.0,15.0,2.0,12.0,0.0,4.0,1.0,39.0,1
32108,0.0,0.0,2.0,0.0,0.0,1.0,4.0,15.0,4.0,8.0,2.0,1.0,1.0,39.0,0
17377,2.0,0.0,4.0,0.0,0.0,1.0,6.0,12.0,2.0,10.0,5.0,4.0,0.0,39.0,1
8880,1.0,0.0,3.0,0.0,0.0,1.0,4.0,9.0,2.0,12.0,0.0,4.0,1.0,39.0,1
30946,0.0,0.0,2.0,0.0,0.0,2.0,4.0,11.0,0.0,1.0,4.0,4.0,0.0,39.0,0
32671,0.0,0.0,2.0,0.0,0.0,2.0,4.0,11.0,4.0,7.0,3.0,4.0,0.0,39.0,0
39281,2.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,6.0,8.0,1.0,4.0,0.0,39.0,0
42111,0.0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,4.0,8.0,1.0,4.0,1.0,39.0,0
19695,1.0,0.0,3.0,0.0,0.0,1.0,5.0,8.0,2.0,4.0,0.0,2.0,1.0,39.0,1
16753,0.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,4.0,14.0,3.0,4.0,1.0,39.0,0
13998,1.0,0.0,3.0,0.0,0.0,1.0,4.0,9.0,2.0,4.0,0.0,4.0,1.0,39.0,0
21417,0.0,0.0,2.0,0.0,0.0,0.0,4.0,15.0,4.0,12.0,3.0,4.0,0.0,39.0,0
42575,1.0,0.0,3.0,0.0,0.0,2.0,4.0,9.0,2.0,12.0,0.0,4.0,1.0,39.0,0
25034,1.0,0.0,2.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,4.0,4.0,0.0,39.0,0
38201,3.0,1.0,2.0,0.0,0.0,1.0,4.0,11.0,0.0,12.0,1.0,4.0,0.0,39.0,0
29923,2.0,0.0,4.0,0.0,2.0,1.0,2.0,12.0,2.0,10.0,5.0,4.0,0.0,39.0,0
26125,1.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,0.0,6.0,1.0,4.0,1.0,39.0,0
41993,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0,39.0,0
41727,0.0,0.0,2.0,0.0,2.0,1.0,4.0,15.0,4.0,1.0,3.0,4.0,0.0,5.0,0
31638,2.0,1.0,2.0,0.0,0.0,1.0,4.0,11.0,0.0,7.0,1.0,4.0,0.0,39.0,0
21163,1.0,1.0,3.0,0.0,0.0,2.0,4.0,7.0,2.0,12.0,0.0,4.0,1.0,39.0,1
12337,0.0,0.0,3.0,0.0,0.0,2.0,4.0,9.0,2.0,4.0,5.0,2.0,0.0,39.0,1
23891,2.0,0.0,4.0,0.0,0.0,1.0,4.0,12.0,3.0,11.0,1.0,1.0,1.0,19.0,0
44406,1.0,1.0,4.0,0.0,0.0,1.0,4.0,12.0,2.0,10.0,5.0,4.0,0.0,39.0,1
24495,0.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,4.0,3.0,1.0,4.0,1.0,39.0,0
9448,1.0,1.0,2.0,0.0,0.0,1.0,4.0,11.0,0.0,11.0,4.0,4.0,0.0,39.0,0
22276,1.0,0.0,2.0,0.0,0.0,2.0,4.0,15.0,0.0,4.0,1.0,4.0,1.0,39.0,1
25187,1.0,0.0,2.0,0.0,0.0,2.0,1.0,15.0,2.0,6.0,0.0,4.0,1.0,39.0,0
46540,2.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,0.0,7.0,1.0,4.0,0.0,0.0,0
30197,1.0,0.0,4.0,0.0,0.0,1.0,4.0,14.0,4.0,10.0,1.0,4.0,1.0,39.0,0
19919,2.0,0.0,3.0,0.0,0.0,1.0,5.0,9.0,2.0,10.0,0.0,4.0,1.0,39.0,1
23988,1.0,0.0,2.0,0.0,0.0,2.0,4.0,11.0,2.0,12.0,0.0,4.0,1.0,39.0,1
31770,1.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,0.0,7.0,1.0,1.0,0.0,30.0,0
21385,1.0,0.0,3.0,0.0,0.0,1.0,4.0,9.0,2.0,12.0,0.0,4.0,1.0,39.0,1
25898,0.0,1.0,2.0,0.0,0.0,1.0,4.0,11.0,2.0,14.0,0.0,3.0,1.0,39.0,0
18667,0.0,0.0,2.0,0.0,0.0,3.0,4.0,11.0,4.0,5.0,1.0,2.0,0.0,39.0,0
41799,0.0,0.0,3.0,0.0,0.0,3.0,2.0,9.0,4.0,10.0,1.0,4.0,0.0,39.0,0
18206,1.0,0.0,3.0,0.0,0.0,1.0,4.0,8.0,2.0,3.0,0.0,4.0,1.0,39.0,1
43427,0.0,0.0,2.0,0.0,0.0,3.0,4.0,11.0,4.0,3.0,1.0,4.0,1.0,39.0,0
29382,0.0,0.0,2.0,0.0,0.0,1.0,7.0,11.0,2.0,11.0,0.0,4.0,1.0,39.0,0
4357,0.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,4.0,3.0,3.0,4.0,1.0,39.0,0
40229,1.0,0.0,2.0,0.0,0.0,1.0,4.0,15.0,2.0,4.0,0.0,0.0,1.0,39.0,1
16461,2.0,0.0,2.0,0.0,0.0,2.0,4.0,15.0,2.0,10.0,0.0,4.0,1.0,39.0,0
24518,1.0,0.0,3.0,0.0,0.0,0.0,4.0,9.0,4.0,7.0,1.0,4.0,0.0,39.0,0
44628,1.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,5.0,3.0,1.0,4.0,1.0,39.0,0
25767,0.0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,4.0,12.0,4.0,4.0,0.0,39.0,0
26984,1.0,0.0,1.0,0.0,0.0,1.0,4.0,5.0,2.0,3.0,0.0,3.0,1.0,39.0,0
23933,3.0,0.0,3.0,0.0,0.0,1.0,4.0,8.0,4.0,1.0,1.0,4.0,0.0,39.0,0
16313,0.0,0.0,3.0,0.0,0.0,3.0,4.0,9.0,4.0,4.0,1.0,4.0,0.0,39.0,0
17169,1.0,1.0,3.0,0.0,0.0,2.0,4.0,8.0,5.0,12.0,1.0,2.0,1.0,39.0,0
20386,1.0,0.0,4.0,0.0,0.0,1.0,4.0,12.0,2.0,10.0,0.0,4.0,1.0,39.0,1
3979,2.0,0.0,4.0,0.0,0.0,1.0,4.0,12.0,0.0,12.0,1.0,4.0,1.0,39.0,0
26985,1.0,0.0,2.0,0.0,0.0,1.0,4.0,15.0,2.0,3.0,0.0,4.0,1.0,39.0,1
46926,0.0,1.0,3.0,0.0,0.0,2.0,4.0,9.0,0.0,10.0,1.0,4.0,1.0,39.0,0
11945,0.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,4.0,8.0,1.0,4.0,0.0,39.0,0
43054,2.0,0.0,2.0,0.0,0.0,1.0,2.0,11.0,2.0,8.0,0.0,4.0,1.0,39.0,0
22049,1.0,1.0,2.0,0.0,0.0,3.0,4.0,15.0,2.0,3.0,0.0,4.0,1.0,39.0,1
10084,1.0,0.0,3.0,0.0,0.0,1.0,4.0,7.0,0.0,4.0,4.0,2.0,0.0,39.0,0
15091,0.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,4.0,7.0,3.0,4.0,1.0,39.0,0
553,1.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,2.0,7.0,5.0,2.0,0.0,39.0,0
43251,1.0,0.0,3.0,0.0,0.0,1.0,4.0,7.0,4.0,8.0,4.0,2.0,0.0,39.0,0
30170,1.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,2.0,8.0,0.0,4.0,1.0,0.0,0
46861,1.0,0.0,3.0,0.0,0.0,1.0,4.0,9.0,2.0,10.0,0.0,4.0,1.0,39.0,1
44733,1.0,0.0,3.0,0.0,0.0,1.0,4.0,8.0,2.0,12.0,0.0,4.0,1.0,39.0,1
15692,1.0,0.0,3.0,0.0,0.0,1.0,5.0,9.0,2.0,12.0,0.0,1.0,1.0,0.0,1
17772,1.0,1.0,2.0,0.0,0.0,1.0,4.0,11.0,2.0,7.0,0.0,4.0,1.0,39.0,0
28047,1.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,2.0,3.0,0.0,4.0,1.0,39.0,0
24766,2.0,0.0,3.0,0.0,0.0,1.0,4.0,9.0,0.0,8.0,1.0,4.0,0.0,11.0,0
3142,2.0,1.0,2.0,0.0,0.0,1.0,2.0,11.0,2.0,3.0,0.0,4.0,1.0,39.0,0
47213,0.0,0.0,3.0,0.0,0.0,1.0,0.0,9.0,2.0,0.0,5.0,1.0,0.0,17.0,0
29265,1.0,0.0,2.0,0.0,0.0,2.0,4.0,11.0,2.0,3.0,0.0,4.0,1.0,39.0,1
1983,1.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,2.0,3.0,0.0,4.0,1.0,39.0,1
43637,0.0,0.0,2.0,0.0,0.0,2.0,4.0,1.0,2.0,14.0,0.0,4.0,1.0,39.0,0
35486,0.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,4.0,8.0,3.0,4.0,1.0,39.0,0
33108,1.0,0.0,3.0,0.0,0.0,1.0,4.0,8.0,2.0,8.0,0.0,4.0,1.0,39.0,0
15908,0.0,0.0,2.0,0.0,0.0,2.0,2.0,11.0,4.0,8.0,3.0,4.0,0.0,39.0,0
30185,1.0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,2.0,6.0,0.0,4.0,1.0,39.0,0
25102,2.0,0.0,2.0,0.0,0.0,1.0,4.0,2.0,2.0,14.0,0.0,4.0,1.0,39.0,0
41419,1.0,0.0,4.0,0.0,0.0,2.0,4.0,12.0,4.0,10.0,1.0,4.0,1.0,39.0,0
46981,1.0,0.0,2.0,0.0,1.0,1.0,4.0,15.0,2.0,14.0,0.0,4.0,1.0,39.0,0
5221,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,4.0,1.0,3.0,4.0,1.0,39.0,0
43975,0.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,4.0,1.0,1.0,4.0,0.0,11.0,0
36975,0.0,0.0,3.0,0.0,0.0,1.0,7.0,9.0,4.0,4.0,3.0,4.0,0.0,39.0,0
12634,0.0,1.0,2.0,0.0,0.0,2.0,4.0,11.0,2.0,14.0,0.0,4.0,1.0,39.0,0
192,1.0,1.0,3.0,0.0,0.0,1.0,2.0,9.0,2.0,3.0,0.0,2.0,1.0,39.0,0
8035,2.0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,5.0,8.0,1.0,2.0,0.0,39.0,0
17799,1.0,0.0,3.0,0.0,0.0,1.0,4.0,7.0,2.0,10.0,0.0,4.0,1.0,39.0,1
10058,0.0,0.0,3.0,0.0,0.0,1.0,4.0,9.0,4.0,10.0,1.0,4.0,0.0,39.0,0
35382,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,4.0,7.0,3.0,4.0,1.0,39.0,0
18052,2.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,2.0,3.0,0.0,4.0,1.0,39.0,0
2601,2.0,0.0,2.0,0.0,0.0,1.0,1.0,11.0,2.0,14.0,0.0,0.0,1.0,39.0,0
15361,0.0,0.0,2.0,0.0,0.0,2.0,4.0,11.0,2.0,3.0,0.0,4.0,1.0,39.0,0
26904,0.0,0.0,3.0,0.0,0.0,2.0,2.0,9.0,4.0,1.0,3.0,1.0,0.0,39.0,0
613,0.0,0.0,3.0,0.0,0.0,1.0,2.0,9.0,4.0,10.0,3.0,4.0,1.0,39.0,0
37704,1.0,0.0,3.0,0.0,0.0,0.0,4.0,9.0,2.0,10.0,0.0,4.0,1.0,39.0,1
19528,0.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,4.0,4.0,1.0,4.0,0.0,39.0,0
48578,2.0,1.0,2.0,0.0,0.0,1.0,4.0,11.0,2.0,8.0,2.0,4.0,1.0,27.0,0
3601,1.0,0.0,3.0,0.0,0.0,2.0,4.0,9.0,4.0,10.0,1.0,4.0,1.0,39.0,0
8510,1.0,0.0,4.0,0.0,0.0,3.0,6.0,14.0,2.0,10.0,0.0,4.0,1.0,39.0,1
40845,2.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,5.0,2.0,0.0,39.0,0
42711,2.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,5.0,8.0,4.0,2.0,0.0,0.0,0
30268,2.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,6.0,0.0,1.0,4.0,0.0,39.0,0
27729,1.0,0.0,3.0,0.0,0.0,0.0,4.0,9.0,4.0,10.0,3.0,4.0,0.0,39.0,0
35740,0.0,1.0,2.0,0.0,0.0,1.0,4.0,11.0,4.0,12.0,3.0,2.0,0.0,39.0,0
22830,1.0,0.0,4.0,0.0,0.0,1.0,4.0,12.0,4.0,10.0,1.0,4.0,0.0,39.0,0
10869,0.0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,4.0,8.0,4.0,2.0,0.0,39.0,0
8106,0.0,0.0,2.0,0.0,0.0,1.0,4.0,15.0,4.0,8.0,1.0,4.0,0.0,39.0,0
45840,2.0,0.0,2.0,0.0,0.0,2.0,2.0,11.0,2.0,3.0,0.0,4.0,1.0,39.0,0
20071,1.0,1.0,3.0,0.0,0.0,2.0,4.0,9.0,5.0,12.0,1.0,4.0,0.0,39.0,1
17952,2.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,2.0,6.0,0.0,4.0,1.0,39.0,0
2871,2.0,0.0,2.0,0.0,0.0,3.0,2.0,11.0,2.0,11.0,0.0,4.0,1.0,39.0,1
32007,2.0,0.0,2.0,0.0,1.0,1.0,4.0,11.0,0.0,1.0,4.0,4.0,0.0,39.0,0
33349,1.0,0.0,4.0,0.0,0.0,1.0,2.0,10.0,4.0,10.0,1.0,4.0,0.0,39.0,1
12313,3.0,0.0,4.0,0.0,0.0,0.0,4.0,14.0,6.0,10.0,4.0,4.0,0.0,39.0,0
41047,0.0,0.0,2.0,0.0,0.0,1.0,4.0,2.0,2.0,3.0,0.0,4.0,1.0,6.0,0
31242,1.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,2.0,6.0,0.0,4.0,1.0,22.0,0
17152,0.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,4.0,14.0,3.0,4.0,1.0,39.0,0
40092,0.0,0.0,2.0,0.0,0.0,1.0,6.0,11.0,2.0,3.0,0.0,4.0,1.0,39.0,0
43553,3.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,0.0,1.0,4.0,2.0,0.0,39.0,0
25516,2.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,2.0,14.0,0.0,2.0,1.0,39.0,0
25880,1.0,0.0,2.0,0.0,0.0,2.0,4.0,11.0,2.0,7.0,0.0,4.0,1.0,39.0,0
45553,1.0,1.0,2.0,0.0,0.0,1.0,4.0,15.0,0.0,7.0,4.0,2.0,0.0,39.0,0
45545,0.0,0.0,3.0,0.0,0.0,1.0,4.0,9.0,4.0,1.0,3.0,4.0,1.0,39.0,0
8156,2.0,0.0,2.0,0.0,0.0,1.0,2.0,11.0,2.0,4.0,5.0,4.0,0.0,39.0,0
42196,2.0,0.0,3.0,0.0,0.0,1.0,4.0,9.0,2.0,7.0,0.0,1.0,1.0,20.0,0
30808,0.0,0.0,2.0,0.0,0.0,2.0,4.0,11.0,0.0,1.0,4.0,4.0,0.0,39.0,0
1326,2.0,0.0,2.0,0.0,0.0,1.0,4.0,11.0,2.0,6.0,0.0,4.0,1.0,0.0,0
6685,0.0,0.0,2.0,0.0,0.0,1.0,4.0,15.0,4.0,1.0,3.0,4.0,1.0,39.0,0
