,fLength,fWidth,fSize,fConc,fConc1,fAsym,fM3Long,fM3Trans,fAlpha,fDist,target
13759,2.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1
9214,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,0
14345,0.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,1
16418,0.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,0.0,1.0,1
12203,1.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,0
764,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,0
2660,0.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,0
8540,0.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,1.0,1.0,0
309,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,0
16919,3.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1
6053,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,0
1227,0.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,0
5140,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,0
18625,0.0,0.0,0.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1
15476,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,1
10474,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,0
4985,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,0
7476,0.0,0.0,0.0,2.0,2.0,2.0,3.0,2.0,0.0,1.0,0
8362,1.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,3.0,0
7882,0.0,0.0,0.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,0
6044,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0
7017,0.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,0.0,2.0,0
3233,0.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,0
7032,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0
1220,0.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,0
17638,1.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,0.0,1
17880,1.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,1.0,2.0,1
1649,1.0,0.0,2.0,0.0,0.0,2.0,3.0,3.0,0.0,2.0,0
11593,1.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,3.0,0
11291,1.0,0.0,2.0,1.0,0.0,2.0,3.0,3.0,0.0,2.0,0
8745,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0
10006,0.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,1.0,0
9869,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0
34,1.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,2.0,0
11113,0.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,0
3367,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,0
16485,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1
4073,1.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0,0
16375,2.0,2.0,4.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,1
10345,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,0
13530,0.0,0.0,0.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,1
16940,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,1
2223,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0
18219,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,1
15203,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0,1.0,1
12210,0.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,0.0,1.0,0
10082,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0,0.0,0
1827,0.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,1.0,0
18140,0.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0,2.0,1
1987,0.0,0.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,0
16802,1.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,4.0,2.0,1
18024,0.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0,1.0,1
3244,0.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,1.0,0.0,0
9967,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,0
14012,1.0,1.0,2.0,0.0,0.0,2.0,4.0,2.0,4.0,2.0,1
9411,1.0,0.0,2.0,1.0,0.0,1.0,3.0,2.0,0.0,2.0,0
13793,1.0,0.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,1
8441,1.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,0.0,2.0,0
9656,1.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0,0
10759,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0
18657,3.0,1.0,2.0,0.0,0.0,3.0,2.0,3.0,4.0,1.0,1
8168,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0
13212,0.0,0.0,1.0,1.0,0.0,2.0,3.0,3.0,4.0,2.0,1
10635,0.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,1.0,0
3256,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,0
1518,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,2.0,0
17705,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0,1
5999,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0
9171,0.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,1.0,1.0,0
1132,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,0
14496,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1
8278,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,0
651,0.0,0.0,0.0,4.0,3.0,2.0,3.0,2.0,3.0,2.0,0
10066,1.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0,0
6459,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,0
5421,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,0
4740,0.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0,0
2608,0.0,0.0,0.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,0
7300,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,0
6768,1.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,0
13776,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1
15652,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1
15195,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,1
6830,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,0
15444,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,1
16836,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,1
15860,2.0,1.0,2.0,0.0,0.0,2.0,3.0,3.0,1.0,0.0,1
16666,3.0,0.0,1.0,1.0,1.0,2.0,4.0,2.0,0.0,0.0,1
8095,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,0
2291,1.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0
5138,0.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,0
2683,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,0
2009,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,0
6427,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,0
15700,0.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1
18064,2.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,1
18753,2.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,2.0,1.0,1
9559,0.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,0
6098,0.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,0.0,1.0,0
9629,1.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0,0
15452,0.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,0.0,2.0,1
10010,0.0,0.0,0.0,2.0,1.0,1.0,3.0,2.0,0.0,1.0,0
16134,2.0,2.0,2.0,0.0,0.0,2.0,0.0,4.0,4.0,3.0,1
15301,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1
1188,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,0
10151,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,0
1888,0.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,0
18855,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,1
4768,1.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,3.0,0
6778,0.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,0
16525,0.0,0.0,0.0,4.0,3.0,2.0,2.0,2.0,3.0,1.0,1
9291,0.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0,1.0,0
10022,0.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,0.0,2.0,0
3795,0.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,0.0,2.0,0
4055,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,0
10405,0.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,0
11439,1.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,0
13940,2.0,1.0,3.0,0.0,0.0,2.0,1.0,3.0,0.0,3.0,1
10360,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0
17859,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1
17209,0.0,0.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,1
8991,0.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,2.0,0
14559,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1
5446,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,0
4220,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,0
9663,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,0
15869,1.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,3.0,2.0,1
15290,0.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,3.0,0.0,1
4011,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0
2078,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,3.0,0
18768,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,1
8708,1.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,2.0,0
12616,1.0,1.0,3.0,0.0,0.0,2.0,3.0,2.0,1.0,3.0,1
8280,0.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,0
14264,0.0,0.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1
13950,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1
1244,0.0,0.0,0.0,2.0,2.0,2.0,3.0,2.0,3.0,0.0,0
12335,1.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1
11430,0.0,0.0,0.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,0
6438,0.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,1.0,0
2909,0.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,0
2012,0.0,0.0,2.0,1.0,0.0,2.0,3.0,2.0,0.0,1.0,0
5981,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,0
5936,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0
12316,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,0
6997,0.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0,0.0,0
6422,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,0
11836,0.0,0.0,0.0,4.0,3.0,2.0,2.0,2.0,3.0,1.0,0
15061,0.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1
15438,2.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,1
11337,1.0,0.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,3.0,0
18737,2.0,2.0,1.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,1
15823,2.0,0.0,1.0,1.0,0.0,2.0,4.0,3.0,0.0,1.0,1
5014,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,0
2102,0.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,0
5411,0.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,1.0,1.0,0
14368,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1
18191,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1
18049,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,3.0,1.0,1
324,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,0
15601,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1
820,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,0
14901,1.0,0.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1
14517,3.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,4.0,1.0,1
7646,1.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,0
8725,0.0,0.0,0.0,4.0,3.0,2.0,3.0,2.0,0.0,1.0,0
5479,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,0
9338,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0
16424,0.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0,2.0,1
16513,0.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1
1952,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0
2140,1.0,0.0,2.0,1.0,0.0,2.0,3.0,3.0,0.0,3.0,0
3844,1.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,3.0,0
8704,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,0
11537,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,2.0,0
1620,0.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0,1.0,0
15103,1.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,1
3648,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0
705,0.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,0.0,1.0,0
17069,1.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0,1.0,1
10193,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,0
7746,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,0
10911,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,0
1832,0.0,0.0,0.0,2.0,2.0,2.0,3.0,2.0,4.0,1.0,0
2457,0.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,0.0,0.0,0
4466,0.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,4.0,0.0,0
8518,0.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,0
2441,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,0
12689,1.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,3.0,1.0,1
7913,1.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0,0
11182,0.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,0
11217,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0
14448,2.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,1
10834,0.0,0.0,0.0,4.0,3.0,2.0,3.0,2.0,0.0,0.0,0
17786,2.0,1.0,2.0,0.0,0.0,3.0,3.0,2.0,4.0,3.0,1
13748,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,1
8797,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,0
11932,0.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,0
12501,2.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,1
14182,1.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,1
11821,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,0
9534,0.0,0.0,2.0,1.0,0.0,2.0,3.0,2.0,1.0,0.0,0
16812,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,4.0,0.0,1
8451,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,0
13257,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1
16653,0.0,0.0,0.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,1
16695,0.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0,0.0,1
1003,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0
17713,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,4.0,1
13010,0.0,0.0,0.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,1
15243,1.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,2.0,1
14763,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1
13315,3.0,3.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0,1
8728,0.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,0.0,2.0,0
1146,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0
16589,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,3.0,0.0,1
13045,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,1
3276,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,0
17556,1.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1
5744,0.0,0.0,0.0,2.0,2.0,2.0,3.0,2.0,0.0,1.0,0
5866,0.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0,1.0,0
1967,0.0,0.0,0.0,2.0,2.0,2.0,3.0,2.0,0.0,1.0,0
16617,0.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1
5510,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,0
11944,0.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,1.0,0
1087,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,0
162,1.0,0.0,3.0,0.0,0.0,1.0,3.0,3.0,0.0,2.0,0
9421,0.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0,0
4594,0.0,0.0,2.0,1.0,0.0,1.0,3.0,2.0,0.0,2.0,0
3731,0.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,1.0,0
13262,0.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,4.0,0.0,1
2698,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,0
1360,0.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,0
7107,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,0
3694,1.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,2.0,0
11293,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,0
250,1.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,1.0,2.0,0
10166,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0
11099,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0
10303,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,0
14024,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1
5478,1.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,2.0,0
2862,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,0
11288,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,4.0,1.0,0
4044,1.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,2.0,0
14851,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1
11628,0.0,0.0,0.0,4.0,3.0,2.0,3.0,2.0,2.0,0.0,0
151,1.0,0.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,2.0,0
10490,1.0,0.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,3.0,0
10549,0.0,0.0,0.0,4.0,3.0,2.0,3.0,2.0,1.0,2.0,0
8274,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,0.0,1.0,0
14655,0.0,0.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,1
1084,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,0
7067,1.0,1.0,3.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,0
12871,0.0,0.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,1
5910,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,3.0,0
6676,0.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,0.0,0.0,0
12080,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,0
3077,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0
5879,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,0
18525,2.0,1.0,1.0,1.0,0.0,2.0,4.0,3.0,2.0,2.0,1
7457,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,0
11318,1.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,0
13791,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1
16687,0.0,0.0,0.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,1
10539,1.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,0.0,2.0,0
5852,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,4.0,1.0,0
14038,0.0,0.0,0.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,1
14648,0.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1
18230,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,1
17806,0.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,1
4165,0.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,0
7552,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0,0
8115,0.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,0.0,2.0,0
12901,2.0,1.0,3.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1
14888,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,4.0,0.0,1
10879,0.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,0.0,1.0,0
