,Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Eccentricity,Convex_Area,Extent,target
650,2.0,2.0,2.0,2.0,3.0,2.0,1.0,0
232,2.0,3.0,2.0,3.0,2.0,2.0,1.0,0
1376,3.0,4.0,3.0,3.0,3.0,3.0,3.0,0
2750,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1
1812,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1
1569,2.0,3.0,3.0,3.0,3.0,3.0,1.0,0
3055,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1
2511,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1
3589,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
2627,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1
853,3.0,3.0,2.0,4.0,2.0,3.0,3.0,0
366,3.0,3.0,2.0,3.0,2.0,3.0,1.0,0
3172,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
967,2.0,3.0,2.0,2.0,3.0,2.0,0.0,0
1265,2.0,3.0,3.0,3.0,3.0,2.0,0.0,0
3132,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1
3304,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
2078,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1
689,3.0,3.0,2.0,3.0,3.0,3.0,3.0,0
2968,2.0,2.0,1.0,3.0,2.0,2.0,3.0,1
1872,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1
1537,2.0,3.0,3.0,3.0,3.0,2.0,0.0,0
1391,2.0,3.0,3.0,2.0,4.0,2.0,4.0,0
1756,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1
2621,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1
861,2.0,3.0,3.0,3.0,3.0,3.0,0.0,0
1686,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1
3792,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1
1185,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
534,3.0,4.0,4.0,3.0,4.0,3.0,0.0,0
3508,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1
3471,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1
3058,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1
82,2.0,2.0,1.0,2.0,3.0,2.0,1.0,0
841,2.0,2.0,3.0,2.0,3.0,2.0,3.0,0
1073,1.0,3.0,3.0,1.0,4.0,1.0,2.0,0
2632,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
36,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0
2648,0.0,0.0,0.0,1.0,3.0,0.0,3.0,1
3242,2.0,2.0,1.0,3.0,2.0,2.0,3.0,1
1440,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
2676,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
2714,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1
1786,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
2907,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1
1317,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0
1621,2.0,3.0,3.0,2.0,3.0,2.0,1.0,0
2942,0.0,0.0,0.0,1.0,2.0,0.0,3.0,1
679,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
1249,1.0,2.0,2.0,2.0,3.0,2.0,1.0,0
790,2.0,3.0,2.0,3.0,3.0,2.0,2.0,0
24,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
1763,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1
2976,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1
3277,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
1199,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
11,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
2883,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1
3763,2.0,2.0,2.0,3.0,2.0,2.0,4.0,1
3162,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1
2667,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
3565,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
2490,2.0,2.0,2.0,3.0,2.0,2.0,3.0,1
1999,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
3027,0.0,0.0,1.0,1.0,3.0,0.0,3.0,1
3203,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1
2376,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1
1374,2.0,2.0,2.0,2.0,3.0,2.0,2.0,0
251,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
1137,2.0,3.0,2.0,2.0,3.0,2.0,3.0,0
405,2.0,2.0,2.0,2.0,3.0,2.0,3.0,0
2104,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1
2335,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
1897,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
120,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0
2965,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1
1484,2.0,4.0,4.0,2.0,4.0,3.0,0.0,0
3435,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1
1175,2.0,3.0,2.0,2.0,3.0,2.0,1.0,0
3346,2.0,2.0,1.0,3.0,2.0,2.0,4.0,1
2252,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1
3671,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1
2541,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1
1027,2.0,3.0,3.0,2.0,4.0,2.0,0.0,0
1476,1.0,2.0,2.0,2.0,3.0,1.0,0.0,0
601,2.0,2.0,2.0,3.0,2.0,2.0,1.0,0
865,2.0,2.0,2.0,2.0,3.0,2.0,2.0,0
2784,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1
519,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
1329,2.0,2.0,2.0,2.0,3.0,2.0,2.0,0
2484,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
3437,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1
2167,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1
1787,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1
1524,2.0,3.0,2.0,3.0,3.0,3.0,1.0,0
2327,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
512,3.0,3.0,2.0,3.0,2.0,3.0,1.0,0
428,3.0,3.0,2.0,3.0,2.0,3.0,2.0,0
1470,2.0,3.0,3.0,3.0,3.0,2.0,3.0,0
2065,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1
436,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
910,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
119,1.0,2.0,2.0,2.0,3.0,1.0,1.0,0
3493,2.0,2.0,1.0,3.0,2.0,2.0,3.0,1
3134,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1
996,2.0,2.0,2.0,2.0,3.0,2.0,1.0,0
631,3.0,3.0,3.0,3.0,3.0,3.0,4.0,0
1993,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1
828,2.0,3.0,3.0,2.0,4.0,2.0,1.0,0
2154,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
3314,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
227,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
571,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0
2276,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1
3601,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1
504,2.0,3.0,3.0,3.0,3.0,3.0,1.0,0
2983,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1
1550,2.0,3.0,2.0,3.0,3.0,2.0,1.0,0
2888,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1
3188,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1
2801,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
265,3.0,3.0,2.0,3.0,2.0,3.0,1.0,0
2804,1.0,1.0,2.0,2.0,3.0,1.0,3.0,1
1074,2.0,3.0,2.0,3.0,3.0,3.0,1.0,0
2416,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1
344,3.0,4.0,4.0,3.0,3.0,3.0,1.0,0
1395,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0
1486,2.0,3.0,3.0,2.0,3.0,2.0,3.0,0
3287,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
1730,2.0,2.0,1.0,2.0,2.0,2.0,3.0,1
3199,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
1593,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
2041,1.0,0.0,0.0,2.0,2.0,1.0,3.0,1
876,2.0,3.0,3.0,2.0,4.0,2.0,4.0,0
850,4.0,4.0,3.0,4.0,3.0,4.0,1.0,0
319,3.0,4.0,3.0,3.0,3.0,3.0,1.0,0
2847,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
1066,2.0,2.0,2.0,3.0,3.0,2.0,1.0,0
3272,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1
3798,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1
884,2.0,2.0,2.0,2.0,3.0,2.0,3.0,0
1412,2.0,3.0,3.0,2.0,3.0,2.0,2.0,0
1003,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
764,3.0,3.0,3.0,3.0,3.0,3.0,4.0,0
2175,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1
2378,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1
3546,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1
1929,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1
1393,3.0,3.0,3.0,3.0,3.0,3.0,4.0,0
1521,2.0,2.0,2.0,2.0,3.0,2.0,3.0,0
2442,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1
2042,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1
1672,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1
1678,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
3441,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1
688,2.0,3.0,2.0,2.0,3.0,2.0,0.0,0
521,1.0,2.0,2.0,2.0,3.0,1.0,2.0,0
3186,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1
3741,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
2949,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1
1877,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1
528,2.0,2.0,2.0,2.0,3.0,2.0,1.0,0
772,4.0,4.0,4.0,4.0,3.0,4.0,4.0,0
3744,2.0,2.0,1.0,4.0,1.0,2.0,2.0,1
3230,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1
798,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0
728,3.0,4.0,4.0,2.0,4.0,3.0,0.0,0
1976,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1
3413,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1
272,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
3533,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1
1112,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0
844,3.0,3.0,2.0,4.0,2.0,3.0,2.0,0
3262,2.0,2.0,2.0,2.0,3.0,2.0,0.0,1
1192,3.0,4.0,4.0,3.0,3.0,3.0,1.0,0
3239,2.0,2.0,1.0,3.0,2.0,2.0,3.0,1
380,2.0,3.0,3.0,3.0,3.0,3.0,2.0,0
2050,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
1859,1.0,1.0,2.0,1.0,4.0,1.0,4.0,1
3105,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1
126,3.0,3.0,2.0,3.0,3.0,3.0,1.0,0
1586,2.0,2.0,2.0,3.0,2.0,2.0,1.0,0
907,2.0,2.0,2.0,2.0,3.0,2.0,1.0,0
3147,2.0,3.0,2.0,3.0,3.0,3.0,1.0,1
239,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
342,3.0,4.0,3.0,4.0,2.0,4.0,3.0,0
2160,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1
2454,2.0,2.0,2.0,3.0,2.0,2.0,3.0,1
3382,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1
616,2.0,2.0,2.0,2.0,3.0,2.0,1.0,0
939,2.0,3.0,2.0,2.0,3.0,2.0,1.0,0
1205,3.0,4.0,4.0,3.0,3.0,3.0,1.0,0
2463,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1
3036,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1
2393,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1
2622,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1
306,1.0,2.0,2.0,2.0,3.0,1.0,0.0,0
3337,1.0,1.0,0.0,2.0,2.0,1.0,4.0,1
2508,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
1077,2.0,3.0,2.0,3.0,3.0,2.0,3.0,0
221,2.0,3.0,3.0,2.0,4.0,2.0,2.0,0
3088,1.0,2.0,2.0,1.0,4.0,1.0,1.0,1
680,3.0,4.0,3.0,3.0,3.0,3.0,2.0,0
2129,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
3497,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1
94,2.0,3.0,3.0,3.0,3.0,2.0,2.0,0
2336,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1
69,1.0,2.0,1.0,2.0,3.0,1.0,1.0,0
2527,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1
832,3.0,3.0,3.0,2.0,3.0,3.0,2.0,0
482,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0
2299,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1
3604,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1
1357,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0
2387,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1
2530,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1
2098,1.0,1.0,0.0,2.0,2.0,1.0,3.0,1
1063,3.0,3.0,3.0,4.0,2.0,3.0,3.0,0
1900,2.0,2.0,2.0,2.0,3.0,2.0,0.0,1
2152,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1
71,2.0,3.0,2.0,3.0,3.0,2.0,3.0,0
2690,1.0,1.0,0.0,3.0,1.0,1.0,2.0,1
1718,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1
2180,2.0,2.0,2.0,2.0,3.0,2.0,0.0,1
3414,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1
244,3.0,4.0,4.0,3.0,3.0,3.0,3.0,0
2130,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1
2025,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1
62,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0
159,2.0,3.0,3.0,2.0,3.0,2.0,1.0,0
1040,2.0,3.0,3.0,2.0,3.0,2.0,0.0,0
61,2.0,2.0,2.0,2.0,3.0,2.0,3.0,0
1624,3.0,3.0,3.0,3.0,3.0,3.0,4.0,0
3371,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1
2666,1.0,1.0,0.0,3.0,0.0,1.0,3.0,1
893,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0
3638,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1
3026,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1
2778,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1
1805,1.0,2.0,1.0,2.0,3.0,2.0,1.0,1
2219,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1
3234,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1
746,2.0,2.0,2.0,3.0,3.0,2.0,3.0,0
3358,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1
3473,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1
3586,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1
224,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0
3637,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1
947,2.0,3.0,3.0,2.0,4.0,2.0,1.0,0
2260,0.0,1.0,1.0,1.0,4.0,0.0,1.0,1
792,2.0,2.0,2.0,2.0,3.0,2.0,3.0,0
1991,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1
676,4.0,4.0,3.0,4.0,3.0,4.0,4.0,0
3317,1.0,1.0,0.0,2.0,2.0,1.0,2.0,1
